period,count
sobekhotep i,1
nebre,1
ptolemy xii neos dionysos,1
ptolemy xiii,1
tiberius,1
nero,1
nepherites i,1
shepseskaf,1
masaharty,1
upper paleolithic,1
teti,1
hor i,1
khasekhemui,1
siptah,1
intef ii,1
xerxes,1
apophis i,1
badarian,1
semerkhet,1
amenemhat v,1
29th dynasty,1
sobekhotep iii,1
neferirkare,1
nubian dating,1
tuthmosis ii,1
diocletian,1
constantine the great,1
ramesses v,1
tao ii,1
ptolemy xi alexander ii,1
seneferu,1
kashta,1
narmer,1
ramesses viii,1
possibly reign of amenhotep ii new kingdom,1
reigns of amenhotep ii-thutmose iv new kingdom,1
probably reign of thutmose iii new kingdom,1
"predynastic, naqada iii-early dynastic period",1
dynasty 30-early ptolemaic period,1
reign of ptolemy ii ptolemaic period,1
third intermediate period-early dynasty 26,1
"reign of ramesses i-ramesses ii new kingdom, ramesside",1
reign of akhenaten to haremhab new kingdom,1
reign of  merenre or pepy ii old kingdom,1
reign of ptolemy vi philometor ptolemaic or roman period,1
"reign of ramesses ii original new kingdom, ramesside",1
"reign of akhenaten to aya new kingdom, amarna period",1
reign of ptolemy ii philadelphos ptolemaic period,1
reign of psamtik i late antique,1
"reign of trajan roman period, trajan",1
"roman period, augustus",1
reign of augustus caesar roman period,1
"new kingdom, late",1
probably reign of nectanebo ii late period,1
"reign of seti i-ramesses ii new kingdom, ramesside",1
reign of ptolemy ii and arsinoe ii ptolemaic period,1
reign of thutmose i-amenhotep ii new kingdom,1
"new kingdom, early",1
late period or early ptolemaic period,1
third intermediate period - late period,1
ramesside-late period,1
"reign of tutankhamun to haremhab new kingdom, post-amarna period",1
reign of khufu or later old kingdom,1
reign of nectanebo i and ii late period,1
reign of ptolemy iv-v coregency ptolemaic period,1
reign of ptolemy x alexander i ptolemaic period,1
"ptolemaic period, early",1
late period-early ptolemaic period,1
reign of ptolemy v ptolemaic period,1
"late new kingdom, ramesside",1
reign of smendes i third intermediate period,1
probably pontificate of masaharta third intermediate period,1
early dynastic period-old kingdom,1
"reign of aya new kingdom, amarna period",1
reign of apries or later late period,1
reign of psammuthis late period,1
third intermediate period-kushite period or later,1
reign of psammtik ii or later late period,1
reign of psamtik i third intermediate period or later,1
"tanwetamani, at a minimum kushite period-late period",1
"late period, kushite-early saite",1
thutmose iv new kingdom,1
reign of seti i new kingdom,1
reign of thutmose ii to year 7 of thutmose iii new kingdom,1
late naqada iii or early dynasty 1,1
amenhotep iii-akhenaten new kingdom,1
reign of qaa early dynastic period,1
"reigns of necho ii through apries late period, saite",1
"third intermediate period, kushite",1
"late period, kushite or later",1
"predynastic, naqada iii-dynasty 1",1
reign of chephren old kingdom,1
"predynastic, late naqada ii",1
reign of neferhotep i middle kingdom,1
late new kingdom to early third intermediate period,1
reign of amenemhat i-senwosret ii middle kingdom,1
reign of taharqo-psamtik i third intermediate period-late period,1
reign of taharqo-psamtik i late period,1
seankhkare mentuhotep iii middle kingdom,1
new kingdom-ptolemaic period,1
new kingdom - third intermediate period,1
"reign of ramesses ii possibly new kingdom, ramesside",1
reign of amenhotep iii-iv new kingdom,1
"reign of ramesses i-seti i new kingdom, ramesside",1
"ramesses ii or later new kingdom, ramesside",1
naqada iii-dynasty 1,1
reign of amenhotep i-thutmose i new kingdom,1
reign of shebitqo third intermediate period,1
reign of ptolemy iv philopator ptolemaic period,1
ptolemaic period or later,1
late period and modern,1
neolithic period-predynastic period,1
"predynastic, naqada l-naqada ii",1
naqada iic-d1,1
"predynastic, late naqada l-early naqada ii",1
late naqada l-early naqada ii,1
late naqada ii,1
"predynastic, late naqada l- early naqada ii",1
"predynastic, naqada i-early naqada ii",1
late naqada i-early naqada ii,1
late naqada ii-possibly early naqada iii,1
probably reign of senwosret i middle kingdom,1
kushite period-late period,1
"reign of psamtik ii late period, saite",1
reign of apries or amasis late period,1
reign of amenemhat ii-senwosret i & senwosret ii middle kingdom,1
reign of senwosret i or later middle kingdom or later,1
later reign of senwosret i-early amenemhat ii middle kingdom,1
reign of amasis saite period,1
macedonian or ptolemaic period,1
ptolemaic period to roman period,1
ptolemaicâ€’roman period,1
coptic byzantine,1
