object_classification,count
"petticoat ,  skirt",1
gown,1
"chalice  ,  heavy chalice",1
"figure ,  pin",1
"loom ,  string",1
"boss ,  jewellery-fitting ,  jewellery",1
book,1
frieze-brick,1
boot,1
"textile ,  religious/ritual equipment  ,  tapestry",1
arm-dagger,1
"textile ,  cushion-cover  ,  tapestry",1
"buckle ,  strap",1
wallet,1
"textile ,  religious/ritual equipment  ,  handkerchief",1
"spindle ,  spindle-whorl ,  thread",1
"animal remains ,  decorated egg",1
playing-card,1
"textile ,  cord ,  hair-net",1
"trousers ,  textile",1
"cap ,  cover",1
"textile ,  garment ,  cloak ,  tapestry",1
"textile ,  shroud ,  garment ,  tapestry",1
"hat ,  textile ,  tapestry",1
"triptych ,  religious/ritual equipment ,  figure ,  forgery",1
great bascinet,1
"cup ,  mug",1
"textile ,  tapestry ,  mantle",1
"curtain  ,  textile",1
"hypocephalus ,  cartonnage",1
"vessel ,  aquamanile ,  figure",1
"tray ,  lid",1
camel-whip,1
"bobbin ,  ear-plug",1
"spacer-bead ,  weight",1
"artefact ,  stamp",1
"tool/implement ,  lid",1
"bobbin ,  weight",1
"funerary equipment ,  box",1
"textile ,  mat",1
"box ,  shabti ,  vegetal remains",1
"box ,  vegetal remains",1
"ostracon ,  votive offering",1
"textile ,  yarn",1
"qadus ,  toy",1
cover,1
bladelet,1
"leglet ,  leg-ornament",1
"vessel ,  plate",1
"cup ,  cup-skyphos",1
"tool/implement ,  gaming-piece ,  weight",1
"gaming-piece ,  weight ,  tool/implement",1
"polisher ,  grinder",1
"artefact ,  statue",1
"grinding-stone ,  weight",1
"tool/implement ,  grinder ,  hammerstone",1
"artefact ,  shabti",1
"ear-ring ,  coffin",1
"artefact ,  bead",1
"artefact ,  ring",1
"ear-ring ,  pendant ,  sample ,  bead ,  artefact",1
point,1
"inlay ,  fitting",1
"textile ,  wrapping ,  loin-cloth ,  shroud",1
"plait ,  binding",1
"textile ,  wrapping ,  patch",1
"jug ,  vessel",1
pilgrim badge,1
storage-vessel,1
"textile ,  funerary equipment",1
mummy-cloth,1
"textile ,  shroud",1
"offering-table ,  figure",1
permit,1
"figure ,  furniture",1
"human mummy ,  textile",1
"vessel ,  amulet",1
"model ,  foundation-deposit ,  brick",1
"amulet ,  scarab",1
"plaque ,  mirror",1
"textile ,  mummy-packing",1
"papyrus ,  roll ,  forgery",1
"textile ,  mantle",1
"textile ,  papyrus",1
"papyrus ,  fake",1
"stela ,  plaque",1
scroll,1
"board ,  ink sample",1
"pectoral ,  heart-scarab",1
"oil-lamp ,  lamp-ornament",1
"bead ,  spindle-whorl",1
"binding ,  cord ,  string",1
string,1
"string ,  cord",1
"medallion ,  model ,  figure",1
"string ,  binding ,  cord",1
"textile ,  wrapping ,  trousers",1
"coffin ,  animal remains ,  cartonnage",1
necklet,1
water-flask,1
"jewellery ,  girdle",1
forehead-ornament,1
"cosmetic-container ,  cosmetic sample",1
"model ,  tool/implement",1
"model ,  chisel",1
crochet-needle,1
needle-case,1
"knife ,  sickle",1
cosmetic-tool/implement,1
cooking-bowl,1
"knife ,  tool/implement",1
"bowl ,  sample",1
"figure ,  inlay",1
"figure ,  funerary equipment",1
"altar  ,  model",1
"stela ,  tomb-relief ,  door-jamb",1
"mace ,  model",1
"anklet  ,  bead",1
"inlay ,  relief",1
"mummy-portrait ,  cartonnage",1
"oil-lamp ,  figure",1
"offering-bowl ,  model ,  foundation-deposit",1
"thumb-ring ,  archer's loose",1
"vessel-stamp  ,  mould",1
"kernos  ,  figure",1
"anklet ,  bead ,  pendant ,  amulet",1
"ostracon ,  meat-jar",1
food-cover,1
"pot ,  coffee-pot",1
"fitting ,  naos",1
"boat-fitting ,  religious/ritual equipment",1
"model ,  sistrum",1
"wine-jar ,  handle",1
"bracelet ,  bead ,  spacer-bar",1
"pin ,  scarf-pin",1
"figure ,  shrine",1
"model ,  toy  ,  axe",1
"model ,  saw ,  foundation-deposit",1
"model ,  axe ,  foundation-deposit ,  textile ,  adhesive sample",1
"figure ,  plaque  ,  model group",1
"cosmetic-box ,  cosmetic sample",1
chest,1
"breast-ornament ,  mummy-wrapping ,  scarab",1
"statue ,  sculpture",1
"ostracon ,  pilgrim flask",1
"alabastron  ,  figure",1
"axe ,  cord ,  handle",1
"vase ,  vessel",1
"knife-sharpener ,  pendant",1
"bowl ,  pyx",1
"necklace  ,  bead ,  spacer-bar",1
"stopper ,  seal",1
"scoop ,  spoon",1
"reliquary-cross ,  relic  ,  cloth",1
"ear-plug ,  ear-stud",1
"bottle ,  reliquary",1
"meat-jar ,  ostracon",1
reliquary-cross,1
fire-stick,1
oil-flask,1
tool-basket,1
"amulet ,  pendant ,  figure",1
"bottle ,  vessel",1
"tomb-relief ,  lintel",1
"knife ,  retouched blade",1
"cosmetic-spoon ,  cosmetic-box",1
rubber,1
"needle ,  case",1
"spindle-whorl ,  vessel",1
"forehead-ornament ,  coin",1
"arrow-head  ,  tool/implement",1
calyx-cup,1
paint-grinder,1
"inlay ,  ring",1
"niche ,  architectural fitting",1
"human mummy ,  mummy-wrapping ,  finger-stall",1
"human mummy ,  bracelet ,  mummy-wrapping",1
stave,1
"collar ,  amulet",1
"human mummy ,  burial-cloth ,  coffin",1
"human mummy ,  burial-cloth ,  mummy-wrapping ,  amulet-frame ,  amulet",1
"human mummy ,  mummy-wrapping ,  mummy-portrait",1
"human mummy ,  mummy-wrapping ,  shroud",1
"textile ,  carpet",1
"human mummy ,  mummy-wrapping ,  shroud ,  comb ,  funerary wreath",1
"furniture-fitting ,  chair",1
"panel ,  naos",1
"human mummy ,  bandage ,  cartonnage ,  bead-net ,  scarab",1
"human mummy ,  collar ,  pectoral ,  mummy-wrapping",1
"furniture-fitting ,  plaque",1
"mummy-wrapping ,  human mummy ,  bead-net",1
"human mummy ,  mummy-wrapping ,  mummy-packing",1
"scarab ,  seal",1
"bracelet  ,  bead",1
"collar ,  terminal",1
"wall ,  tomb-painting",1
"animal remains ,  dish",1
"stela  ,  votive offering",1
"model ,  naos ,  stela",1
"textile ,  burial-cloth",1
"ring ,  weight",1
papyrus-sealing,1
cosmetic-pestle,1
cosmetic-mortar,1
"stela ,  architrave",1
"inlay ,  plaque",1
"human mummy ,  mummy-wrapping ,  inlay",1
boning-rod,1
"harpoon ,  model",1
"knob ,  bobbin",1
"human remains ,  display-case ,  human mummy",1
"stela ,  amulet",1
"human mummy ,  mummy-mask ,  mummy-cover ,  mummy-wrapping ,  cartonnage ,  amulet",1
"human mummy ,  mummy-case ,  cartonnage ,  mummy-mask ,  anklet",1
"oil-lamp ,  thymiaterion",1
gouge,1
"textile ,  garment ,  tunic  ,  cloth",1
"mummy-wrapping ,  sealing",1
"beaker ,  medallion ,  forgery",1
"call ,  whistle",1
"textile ,  garment ,  tunic  ,  mummy-wrapping",1
"plaque ,  shabti",1
"pot ,  teapot",1
"figure ,  amulet ,  base",1
"figure ,  amulet ,  plaque",1
"finger-ring ,  amulet",1
"doll ,  figure",1
"seal ,  forgery",1
acorn lekythos,1
"battle-axe ,  forgery",1
"necklace  ,  bead ,  amulet ,  forgery",1
"amulet ,  pectoral ,  scarab",1
"coffin  ,  mummy-case ,  cartonnage ,  mummy-wrapping ,  human mummy ,  scarab",1
"human mummy ,  mummy-wrapping ,  bead-net ,  amulet ,  figure",1
"kohl-pot ,  cosmetic sample",1
"human mummy ,  mummy-mask ,  cartonnage ,  pectoral ,  shabti ,  mummy-wrapping ,  finger-ring ,  bracelet ,  coffin",1
"figure ,  pounder",1
"coffin ,  mummy-case ,  cartonnage ,  human mummy ,  pectoral ,  scarab",1
"vase ,  sherbet-cup",1
"cosmetic-spoon ,  handle",1
falchion,1
"beaker ,  vessel",1
polycandelon,1
figure vessel,1
"animal mummy ,  mummy-case",1
"bead ,  scarab ,  spacer-bead ,  bracelet",1
"textile ,  sack",1
"knob ,  stud",1
"finger-ring ,  bead",1
"seal ,  mould",1
incantation bowl,1
glass sherd,1
"scaraboid ,  forgery",1
sabre,1
carrying-basket,1
"print ,  costume print ,  book-illustration",1
"teapot ,  lid",1
card,1
"tablet case ,  seal-impression",1
"print ,  costume print",1
food-basket,1
"cover ,  lid",1
"oil-lamp ,  model ,  religious/ritual equipment",1
"whetstone ,  case",1
shabti basket,1
"cup ,  cup-case",1
"medal ,  restrike",1
"bangle ,  bracelet",1
torch,1
bow-case,1
"drawing ,  offset",1
counting cattle,1
fishing boat,1
belt-buckle,1
qumqum,1
"stand  ,  incense-burner",1
folding bed,1
torus moulding,1
canopic coffinette,1
top,1
sun-shade,1
charm-necklace,1
gloves,1
"tray ,  forgery",1
"ossuary ,  human skeletal remains",1
"spatula ,  cooking-implement",1
tripod stand,1
agricultural equipment,1
unspecified food offering,1
"drawing ,  advertisement",1
"sculpture ,  architecture",1
"girdle ,  rattle",1
"print ,  counterproof ,  title-page",1
ossuary,1
"token ,  coin",1
"print ,  book-illustration ,  title-page",1
grain-basket,1
"cosmetic-box  ,  lid",1
cattle breeding,1
lunch-box,1
"badge ,  coin",1
water-pipe,1
"coin ,  double-strike",1
ear-ornament,1
"bag ,  butter-churn",1
whisk,1
harness-fitting,1
"spoon ,  food-stirrer",1
"tripod pyxis ,  lid",1
headrest cushion,1
"concave pyxis ,  lid",1
posset-cup,1
"lid ,  box",1
"handkerchief ,  neckerchief",1
"coin ,  imitation",1
"lock ,  key",1
"tile ,  sieve",1
"nikosthenic pyxis  ,  lid",1
"fire-steel ,  flint",1
"waster ,  bowl",1
dancing dwarfs,1
figure-head,1
"dish ,  drinking-vessel ,  religious/ritual vessel",1
garden,1
"print ,  transparency",1
"coin ,  proof",1
hull,1
"print ,  album ,  newspaper/periodical ,  book-illustration",1
building equipment,1
ostrich egg-shell,1
"print ,  book of prints",1
"print ,  playbill ,  advertisement",1
unspecified agricultural equipment,1
"plaque ,  inlay",1
cinerary urn,1
casket-fitting,1
plummet,1
human skeleton,1
crew,1
arm,1
"ring ,  currency",1
"coin ,  votive offering",1
"votive offering ,  fitting",1
"print ,  map",1
"herm ,  portrait head",1
ritual objects/ scul,1
"pavement ,  mosaic",1
replica,1
toys or jewelry,1
"christmas-card ,  print ,  photographic print ,  drawing",1
"forgery  ,  coin",1
"model ,  sheath",1
"terminal ,  ornament",1
"gem ,  finger-ring",1
"print ,  book-illustration ,  album",1
"print ,  portfolio",1
"bowl ,  dish",1
human cranium,1
ram mummy,1
"belt ,  waist-cloth",1
unspecified organic remains,1
theatre token,1
frame,1
shuttle,1
printing-plate,1
unspecified mammal mummy,1
niche,1
"vessel ,  unguent-bottle",1
robe,1
"bowl ,  lid",1
"plaque ,  coffin-fitting",1
throne,1
solar boat,1
stirrer,1
burial chamber,1
"pendant ,  box",1
millstone,1
"print ,  book-illustration ,  alphabet",1
"vessel ,  bust",1
"print ,  menu",1
"amulet  ,  ankh",1
ostrich egg,1
niello print,1
dog mummy,1
burqa,1
"vessel ,  jug",1
"votive plaque ,  relief",1
shovel,1
door-sill,1
"scarab ,  signet-ring",1
sewing equipment,1
shabti box panel,1
thread,1
dropper,1
magic bowl,1
"tomb-relief ,  door",1
"boss ,  jewellery ,  bell",1
corn osiris coffin,1
"skyphos ,  kotyle",1
perfume-bottle,1
"seal ,  stamp",1
writing-case,1
"charm ,  seal-impression",1
"mosque-lamp ,  hanging lamp",1
ribbon,1
"artefact ,  net-sinker",1
"finger-ring ,  memento mori",1
"papyrus ,  textile",1
"votive offering ,  sculpture",1
"box ,  lid",1
"figure ,  container",1
face-mask,1
donkey-trappings,1
"cosmetic-vessel  ,  dish",1
balustrade,1
"basin ,  toilet/cosmetic equipment",1
scarf,1
"coffee-set ,  coffee-cup ,  cup-holder ,  tray",1
shelf,1
"necklace ,  charm-case",1
saddle-cloth,1
"ewer ,  toilet/cosmetic equipment",1
"basin ,  strainer",1
"water-bottle ,  sample",1
"stove ,  brazier",1
pot-carrier,1
postage-stamp,1
water pot,1
ceiling,1
"lid ,  rattle",1
"skyphos ,  stemless cup",1
"model group ,  barge ,  figure",1
"model ,  barge",1
"pendant ,  bead ,  spacer-bead",1
"bead ,  ring",1
"disc ,  spindle-whorl",1
"pendant ,  plaque ,  bead",1
"inlay ,  bead",1
"ear-ring ,  hair-ring ,  pendant ,  bead",1
"pendant ,  spacer-bead ,  bead",1
"pendant ,  amulet ,  bead",1
"artefact ,  spacer-bead ,  bead",1
"tool/implement ,  bead",1
"jug ,  oinochoe",1
"pendant ,  ear-ring ,  bead",1
"amulet ,  ear-ring ,  bead",1
netting-needle,1
peg,1
"jewellery ,  necklace",1
kyathos,1
cast,1
radio,1
animal/vegetal remains,1
"eye-cup ,  stemless cup",1
"foundation-deposit  ,  beaker",1
"inlay ,  coffin",1
"breast-ornament ,  mummy-wrapping ,  bead",1
"knife ,  knife-sheath",1
"artefact ,  human skeletal remains",1
"amulet ,  pendant ,  bead",1
"textile ,  rope",1
"vessel ,  wine-jar ,  ostracon",1
"vessel ,  tile",1
"vessel ,  stopper",1
"pendant ,  ear-ring ,  hair-ring",1
"ring ,  bezel",1
"cistern ,  toilet/cosmetic equipment",1
"shawl ,  scarf",1
gaming board,1
waistcoat,1
"model ,  plough",1
"medal ,  specimen",1
"ornament ,  architecture",1
"bath-scoop ,  bowl",1
"vessel-fitting ,  lid",1
unspecified human remains,1
"manuscript ,  painting ,  calligraphy",1
presentation pack,1
saddle-bag,1
fighting-stick,1
"banknote ,  specimen",1
cheque,1
"rope ,  vegetal remains",1
"aryballos ,  model group ,  figure",1
stereoscope photograph,1
openwork,1
osiris bed,1
"oil-lamp ,  hanging lamp",1
gunpowder-flask,1
"scarab ,  mount",1
"lamp ,  stand",1
"medal ,  box",1
"jar ,  culinary equipment",1
measuring of volume,1
plumb-line with support,1
"charcoal-burner ,  heater",1
double crown,1
money-box,1
"kursi ,  qur'an-rest",1
"print ,  book ,  map ,  atlas",1
"askos ,  figure ,  rattle",1
"flask ,  forgery",1
tool mould,1
horse-collar,1
bird-lure,1
"sieve ,  winnowing-tray",1
"jewellery-mould ,  whetstone",1
"musical horn ,  trumpet",1
"intaglio ,  bead ,  scaraboid",1
"game-counter ,  draughts-piece",1
"leglet ,  armlet",1
"dice  ,  bead",1
"bag ,  purse",1
zither,1
album,1
"ring ,  tool/implement",1
"purse ,  bag",1
"camel-whip ,  knife-dagger",1
"water-bottle ,  stopper",1
pouch,1
"case ,  bag",1
"bell ,  gong",1
"painting ,  photographic print",1
"threshing-fork ,  winnowing-fork",1
was-sceptre,1
"architecture ,  acroterion",1
hand-warmer,1
pen-case,1
milk scene,1
"potter's tool/implement ,  pounder",1
"manuscript ,  painting",1
fez,1
"animal equipment ,  ornament",1
"drawing ,  print study ,  architectural drawing",1
oil painting,1
cushion-cover,1
"decorated egg ,  animal remains",1
spout,1
tent-cloth,1
"beer-vessel  ,  ostracon",1
pavement,1
"vessel ,  wine-jar  ,  ostracon",1
razor-case,1
"kohl-tube ,  textile",1
"vessel ,  cup",1
"dish ,  cosmetic-container",1
"mummy-case ,  cartonnage ,  human mummy ,  amulet ,  pectoral ,  heart-scarab",1
"flask ,  unguentarium",1
"necklace ,  bead ,  pendant ,  amulet",1
"plaque ,  casket ,  lid",1
"book-label ,  plaque",1
"scarab ,  inlay",1
"textile ,  tapestry ,  garment",1
"kylix ,  acrocup",1
"cap ,  bead ,  forgery",1
"spacer-bead ,  ornament",1
"band-cup ,  lip-cup",1
"human mummy ,  mummy-wrapping ,  amulet",1
"fishing-line-weight  ,  weight",1
"oinochoe ,  figure",1
pike,1
"weight  ,  artefact",1
"neck-amphora  ,  trefoil-mouth oinochoe",1
"artefact ,  net-weight",1
pumice-stone,1
marker,1
"jar ,  seal-impression",1
"antefix ,  relief ,  figure",1
plaquette,1
"block ,  boundary-marker",1
"foundation-deposit ,  animal remains",1
"vessel ,  flask",1
"chalice ,  kantharos",1
"amulet ,  pouch ,  purse",1
"foundation-deposit ,  model ,  brick",1
cord,1
"bowl ,  skyphos",1
rein,1
"burnisher ,  weight  ,  game-piece",1
"stela ,  gravestone",1
"bed ,  furniture-fitting",1
blinker,1
"stela ,  grave-marker",1
"staff ,  finial ,  votive offering ,  model",1
"spear-head  ,  tool/implement",1
"shrine  ,  fitting",1
"wedge ,  chisel",1
"mummy-case ,  animal mummy ,  mummy-wrapping",1
eye-bead,1
"figure ,  vessel ,  aryballos",1
"human mummy ,  mummy-mask ,  cartonnage ,  bead-net ,  mummy-wrapping",1
"spade ,  currency",1
"coffin ,  human mummy ,  mummy-wrapping ,  bead-net",1
"arrow-case ,  arrow",1
"probe ,  scoop",1
"ostracon ,  canopic jar",1
"artefact ,  visual representation",1
model-fitting,1
"flask ,  ampulla",1
"furniture-fitting ,  bed",1
"rhyton ,  wine-funnel",1
"amulet ,  waster  ,  figure",1
flag,1
"basin ,  model",1
"human mummy ,  mummy-case ,  cartonnage",1
"vessel ,  model",1
"loin-cloth ,  bead",1
loin-cloth,1
"tomb-relief ,  trial-piece",1
"artefact ,  box",1
"intaglio ,  ring",1
"spindle-whorl ,  spacer-bead",1
"model building/structure ,  granary",1
"shield ,  model",1
"vessel ,  amphoriskos",1
"flask ,  vessel",1
link,1
"model-fitting ,  bolt",1
diptych,1
"fibula  ,  pin",1
"aegis ,  amulet ,  votive offering",1
"amphora  ,  krater",1
military diploma,1
"naos ,  model",1
"dish  ,  plate",1
concave pyxis,1
"lotus bowl  ,  cup",1
"cartonnage ,  mummy-mask",1
"base ,  pyxis",1
kothon,1
offering-tray,1
spool,1
"model ,  arms/armour",1
"kohl-tube ,  kohl",1
game-stick,1
"trial-piece ,  ostracon",1
frying-pan,1
"finger-ring ,  sealstone ,  intaglio",1
"mortar-spreader ,  foundation-deposit ,  model",1
"model ,  boot",1
"model ,  trowel ,  foundation-deposit",1
"model ,  brick ,  foundation-deposit",1
scimitar,1
"salt-cellar ,  bowl",1
"animal mummy ,  mummy-wrapping ,  mummy-mask",1
"fly-whisk ,  brush",1
key-finger-ring,1
"stela ,  bust",1
"mummy-wrapping ,  textile",1
"oil-jar ,  ostracon",1
drinking-vessel,1
"trial-piece ,  relief",1
"model ,  amphora",1
"net ,  ring ,  garment",1
wig-box,1
"charm ,  amulet ,  artefact",1
"bead  ,  furniture-fitting",1
"nail ,  arrow-head",1
"artefact ,  key",1
"statue  ,  disc",1
"fitting ,  fastener",1
tent-peg,1
"fitting  ,  swivel ,  ring",1
breast-chain,1
horse bridle-bit,1
mattock,1
"relief ,  bowl",1
"bident ,  spear",1
"lagynos ,  jug",1
trident,1
"plate ,  armour",1
"chisel ,  wedge",1
"necklace ,  heart-scarab",1
"hadra hydria ,  human cremation",1
"bead ,  seal",1
"bangle ,  amulet",1
"spool ,  finial",1
"theatre mask ,  model",1
"button ,  game-piece",1
"shabti-box ,  textile ,  vegetal remains",1
"coffin ,  human mummy ,  mummy-wrapping ,  mummy-mask ,  cartonnage",1
"model ,  dagger",1
"amulet-case ,  pendant",1
"necklace ,  pendant ,  chain",1
"fitting ,  model ,  theatre mask",1
"amulet ,  finger-ring",1
"toilet-set ,  toilet-chest ,  vessel ,  pumice-stone ,  comb ,  cosmetic-dish ,  sandal ,  cosmetic-pot ,  cosmetic-applicator ,  pin",1
stirrup,1
table,1
"amulet  ,  bangle",1
pediment,1
"model  ,  vessel",1
"sacrificial knife ,  foundation-deposit ,  model",1
"diptych ,  religious/ritual equipment",1
"panel ,  stela",1
door-socket,1
"sculpture ,  scarab",1
"apron ,  girdle",1
monument,1
compass,1
"book-cover ,  casket",1
"artefact ,  drill-core",1
gunpowder-horn,1
"king-list ,  temple-relief",1
cosmetic-bottle,1
"stela ,  offering-table",1
"cross ,  lamp",1
decorated egg,1
"figure ,  coffin",1
"blade ,  tool/implement ,  animal equipment",1
"offering-table ,  offering-stand",1
"ring ,  armlet",1
"clog ,  sandal",1
"amulet  ,  waster",1
"human mummy ,  mummy-portrait ,  mummy-wrapping ,  cartonnage",1
"offset ,  album",1
"transport amphora ,  jar",1
"amulet  ,  medallion",1
"lintel ,  stela",1
"blade ,  knife",1
"vessel ,  bottle",1
"lamp ,  lamp-stand",1
"toilet/cosmetic equipment ,  kohl-stick",1
"head-rest ,  amulet",1
"scribal palette ,  paint-brush ,  paint-mixer ,  paint sample",1
lyre,1
"peg  ,  drill",1
"goblet ,  cup",1
medallion-mould,1
"triptych ,  religious/ritual equipment",1
"textile ,  hood",1
"stela ,  lintel",1
"statue ,  votive figure",1
divination-bowl,1
"figure ,  rattle",1
"figure ,  toy ,  doll",1
"jar  ,  vessel",1
token-mould,1
sheet,1
"lekythos ,  aryballos",1
"dinos  ,  krater",1
"vessel ,  dinos",1
"pigment sample ,  tool/implement",1
"amulet  ,  pendant",1
"stand ,  lebes gamikos",1
"figure ,  aryballos",1
"bead ,  amulet ,  necklace ,  eye-bead",1
"textile ,  mattress-cover",1
"chain ,  necklace",1
"seal ,  die ,  seal-impression",1
"fountain-jet ,  sculpture",1
"artefact ,  vessel",1
sinker,1
"purse ,  wallet",1
"dish ,  vessel",1
bird-trap,1
"temple-relief ,  gateway",1
"torah shield ,  calendar",1
"papyrus ,  amulet",1
"temple-relief ,  lintel",1
oboe,1
"toy  ,  figure",1
"figure ,  amulet  ,  pendant",1
"spear ,  lance",1
"papyrus ,  reproduction",1
"blade ,  currency",1
"stela ,  votive offering",1
"head-rest ,  seat",1
"pectoral ,  inlay",1
"jug ,  flagon",1
"textile ,  furnishing ,  garment",1
"model ,  couch",1
"bouquet ,  funerary equipment",1
"lamp ,  replica ,  souvenir",1
"mould ,  stela",1
"portrait bust ,  cameo",1
"cart ,  model",1
"amulet ,  bead ,  scarab",1
"necklace  ,  bead ,  amulet ,  pendant",1
"plaque ,  cameo ,  furniture-fitting",1
"spatha ,  sword-sheath",1
"artefact ,  fitting",1
"cosmetic-box ,  lid",1
"tile ,  frieze ,  inlay",1
"bust ,  hanging lamp",1
water-bottle-stand,1
"sword ,  knife",1
"statue ,  bust",1
"model ,  box",1
"krater  ,  dinos",1
"jewellery-fitting ,  disc",1
"disc ,  game-piece",1
"waster ,  dish",1
"jewellery-fitting ,  mount",1
"envelope ,  pigment sample",1
"jewellery-fitting ,  bead",1
"bead-net ,  bead ,  amulet ,  tassel",1
"human remains ,  textile",1
"cameo ,  bottle ,  vessel",1
"religious/ritual equipment ,  flask",1
"mask ,  animal mummy",1
"vessel  ,  cup",1
"unguentarium ,  flask",1
kohl-box,1
"hadra hydria ,  cinerary urn",1
"boat-fitting  ,  religious/ritual equipment",1
"artefact ,  mirror",1
tool-rest,1
"figure  ,  oil-lamp",1
cooking-stand,1
"bottle ,  lekythos",1
"bead ,  necklace ,  eye-bead",1
"sarcophagus  ,  fitting",1
"heart-amulet ,  ear-ring",1
"figure-fitting ,  collar ,  model",1
"bead ,  necklace ,  amulet",1
architectural drawing,1
"textile ,  tassel",1
"plaque ,  spacer-bead",1
rake,1
cotton-gin,1
visor,1
"model ,  cast",1
spade,1
"gateway ,  lintel ,  door-jamb",1
"temple-relief ,  bowl",1
"vessel ,  vessel-cover",1
"religious/ritual equipment ,  model ,  adze",1
"cup  ,  cameo",1
"cameo ,  cup",1
cushion,1
balsamarium,1
"vessel ,  kantharos",1
"human mummy ,  coffin ,  mummy-wrapping",1
"lamp ,  figure",1
"pithos ,  architecture",1
"lyre ,  harp",1
"figure ,  amulet ,  textile",1
"kotyle ,  cup",1
"tool/implement ,  hoe",1
"textile ,  jellabia",1
"hoe ,  foundation-deposit ,  model",1
disc pendant,1
trough,1
"artefact ,  stamp  ,  gaming-piece",1
"model ,  food product",1
"vessel ,  unguent-jar ,  figure",1
"musical pipe ,  clarinet",1
helmet,1
"pendant ,  chain ,  amulet",1
"figure-fitting ,  forgery",1
"coffin-fitting ,  forgery",1
"model ,  wagon",1
"lamp ,  handle",1
"figure ,  foundation-deposit",1
"model ,  head-rest",1
"vessel ,  bowl",1
"ostracon ,  architecture",1
"textile ,  votive offering",1
"case  ,  bag",1
"shield ,  brace",1
"model ,  vessel",1
"mummy-wrapping  ,  bead",1
"mummy-case ,  cartonnage ,  animal mummy",1
"altar ,  model ,  offering-vessel",1
"jar ,  string",1
"scroll ,  curse",1
"coffin ,  model ,  figure ,  vegetal remains",1
pithos,1
"religious/ritual equipment ,  figure",1
food-box,1
"jar ,  strainer",1
"animal remains ,  pendant",1
"magical gem ,  stamp-seal",1
"model ,  spear-head",1
"amulet ,  name-bead",1
"model ,  coffin ,  shabti",1
"figure ,  cartonnage",1
"stela ,  millstone",1
"pendant ,  inlay",1
"box ,  textile",1
"magical brick ,  vegetal remains",1
"temple-relief ,  forgery",1
"shabti-mould ,  forgery",1
"relief ,  votive offering",1
"vase ,  rope",1
"textile ,  bag  ,  sample",1
"pen-case ,  ink-well ,  ink sample",1
"oil-lamp ,  ink-well",1
"inlay ,  food product ,  necklace",1
"hoe ,  rope",1
"model ,  coffin ,  figure",1
"votive offering ,  model",1
door-plate,1
"figure ,  fountain",1
"amulet  ,  plaque",1
"spoon ,  pendant",1
"magical brick ,  amulet",1
ear-ring-mould,1
"vessel ,  offering-tray",1
"curse ,  tablet",1
"finger-ring  ,  scarab",1
slit-drum,1
"bowl  ,  model",1
"plaque ,  scarab",1
"toy ,  game-ball ,  rattle",1
"handle ,  vase",1
"altar  ,  base",1
"shrine ,  stela",1
"coffin ,  animal remains",1
"coffin ,  textile ,  mummy-wrapping",1
"chain ,  coin",1
"scarab ,  necklace",1
"statue ,  cornice",1
cosmetic-bowl,1
"tablet ,  curse",1
"kohl-jar ,  vessel-cover",1
"offering-stand ,  food product",1
"dish ,  food product",1
"censer ,  chain",1
"votive offering  ,  figure",1
"foundation-deposit ,  model ,  axe",1
"model ,  spear-head ,  foundation-deposit",1
"model ,  plough ,  foundation-deposit",1
"model ,  dish ,  foundation-deposit",1
"foundation-deposit ,  box",1
"bead ,  ear-stud",1
"paint-stone ,  paint-grinder",1
"figure ,  mummy-cloth",1
"net-weight ,  net-sinker ,  loom-weight",1
"cast ,  death-mask",1
"religious/ritual equipment ,  model ,  vessel ,  tool/implement",1
ingot,1
"scribal palette ,  pen",1
"model ,  scribal palette",1
"vessel-fitting ,  neck-amphora",1
"foundation-deposit ,  model",1
"model ,  bed",1
"bowl ,  vegetal remains",1
"krater  ,  ostracon",1
"writing-tablet ,  votive offering",1
"vase ,  figure",1
"lekythos ,  jug",1
"relief ,  trial-piece ,  forgery",1
"flask ,  bottle",1
"veil ,  coin",1
remittance note,1
docket,1
rapier,1
"axe ,  forgery",1
"jewellery-mould ,  vessel-mould",1
"game-piece ,  loom-weight",1
quiver,1
wall-hanging,1
"oil-vessel ,  ostracon",1
"unguentarium ,  stopper",1
"saw ,  knife",1
drinking-tube,1
"drinking-tube ,  wine-strainer",1
incense-tool/implement,1
"terminal ,  ceremonial staff",1
"fruit-basket ,  vegetal remains",1
"bead ,  seal ,  amulet",1
"stopper ,  plug ,  seal-impression ,  amphora",1
"amphora ,  stopper ,  seal-impression ,  plug",1
"amphora ,  stopper ,  plug ,  seal-impression",1
"stopper ,  plug ,  amphora ,  seal-impression",1
"box-sealing ,  seal-impression",1
"basket ,  vegetal remains",1
"ear-ring ,  bead ,  spacer-bead",1
"textile ,  bag ,  vegetal remains",1
"amulet ,  seal",1
"cinerary urn ,  human cremation",1
unguent-bottle,1
"human mummy ,  mummy-wrapping ,  coffin",1
trowel,1
"shovel ,  model",1
"amulet ,  menat ,  aegis",1
sieve,1
"cage ,  basket",1
"incense-burner ,  rope",1
"case ,  sheath",1
"model ,  boat ,  string",1
"parure ,  necklace ,  ear-ring ,  tiara ,  jewellery-case",1
"parade-armour ,  helmet ,  cuirass",1
sword-sheath,1
roundel,1
"finger-ring ,  cylinder seal",1
"pendant ,  plaque",1
"jewellery ,  ornament",1
offering,1
"jar ,  jar-cover",1
