object_classification,count
"print ,  newspaper/periodical",14
"tablet ,  tablet case",14
aeolipile,14
textiles,14
hoe,14
counterpoise,13
furniture,13
pestle,13
askos,13
harpoon,13
"pendant ,  bead",13
"print ,  title-page",13
stamnos,13
spindle whorl,13
"pendant ,  amulet",13
"mummy-mask ,  cartonnage",13
mace,13
obelisk,13
"relief ,  trial-piece",13
"stemmed dish ,  plate",12
female mummy,12
censer,12
pin,12
"lamp ,  lamp-ornament",12
hypocephalus,12
debitage,12
"shabti ,  forgery",12
model group,12
wig ornament,12
fan,12
name-bead,12
bed,12
dinos-stand,12
colossus,12
"human mummy ,  mummy-wrapping",12
tombstone,12
chair,12
musical instrument,12
persian,12
aegis,12
brush,12
"cast ,  statue",12
pigment sample,12
mat,12
altar,11
net-weight,11
gem,11
perirrhanterion,11
house,11
"jar-sealing ,  seal-impression",11
cup type b,11
celt,11
"textile ,  wrapping",11
"shabti-coffin ,  shabti",11
ewer,11
diadem,11
unspecified tomb equipment,11
granary,11
anklet,11
game piece,11
spacer-bead,11
hera-cup,11
mummy-mask,11
"textile ,  bag",11
"lid ,  lekanis",11
counter,11
"theatre mask ,  figure",11
jamb,11
model building/structure,11
"model  ,  figure",11
knob,11
writing equipment,10
brooch,10
"plaque ,  figure",10
whetstone,10
"print ,  frontispiece",10
unspecified fragment of mummy trappings,10
"mummy-label ,  forgery",10
writing materials,10
"kohl-tube ,  kohl-stick",10
hammer,10
canopic box,10
furniture element,10
shield,10
"shabti ,  amulet",10
"patera ,  votive offering",10
chess-piece,10
painting,10
"spacer-bead ,  bead",10
door,10
musical pipe,10
drum,10
lamps,10
part of lamp,10
lantern,10
"model ,  axe ,  foundation-deposit",10
unguentarium,10
one-handler,10
"figure ,  mask",10
35mm slide,9
water-vessel,9
brazier,9
unspecified equipemnt,9
rod,9
"photographic print  ,  album",9
label,9
canopic chest,9
mortar,9
"bead ,  necklace",9
fish-plate,9
lamp-holder,9
"offering-cup ,  foundation-deposit",9
"model group ,  boat ,  figure",9
"papyrus ,  calendar",9
ear stud,9
rhyton,9
"bead-net ,  bead",9
"print ,  counterproof",9
cap,9
jewellery mould,9
ibis mummy,9
sceptre,9
ear-stud,9
pot,9
staff,9
snuff-bottle,9
"bead ,  pendant",9
cippus,9
kohl stick,9
kiln-furniture,8
throwing-stick,8
belt,8
unspecified clothing,8
bakery,8
komast cup,8
multiple vase,8
pedestal,8
ankh-amulet,8
"oinochoe ,  amphora",8
"necklace  ,  bead ,  pendant",8
"textile ,  tapestry",8
hook,8
buckle,8
candlestick,8
reed pen,8
"figure ,  religious/ritual equipment",8
calyx-krater,8
girdle,8
cooking-pot,8
panathenaic amphora,8
"peg ,  drill",8
game component,8
"foundation-deposit ,  animal remains ,  sacrificial offering",8
writing board,8
"figure ,  forgery",8
"textile ,  hair-net",8
spatula,8
clothing,8
pyramide,8
"necklace ,  bead",8
animal mummy,8
"necklace  ,  bead",7
"textile ,  mummy-padding",7
arch,7
mammal bone,7
cartonnage,7
outer bands,7
jewellery-fitting,7
unspecified model,7
covered cup,7
signet-ring,7
unspecified jewellery,7
kotyliskos,7
pelike,7
"print ,  popular print",7
graffito,7
"hair-pin ,  dress-pin",7
assyrian,7
"aryballos ,  figure",7
portrait bust,7
portrait head,7
coins,7
offering spoon,7
grinder,7
"bowl ,  paint sample",7
votive offering,7
nose-ring,7
"amulet ,  plaque",7
child mummy,7
lock,7
chalice-cup,7
bolsal,7
harp,7
strainer,7
pilaster,7
offering stand,7
rosary,7
mummy-board,7
shawl,7
oar,7
miniature coffin,7
castanet,7
sailing boat,7
storage-jar,7
mosque-lamp,7
"necklace  ,  bead ,  amulet",6
"sarcophagus ,  lid",6
"scarab ,  amulet",6
"ear-stud ,  ear-plug",6
burnisher,6
throwing-knife,6
"situla ,  votive offering ,  model",6
"wine-vessel ,  ostracon",6
wreath,6
"bell ,  amulet",6
scribal palette,6
sheath,6
convex pyxis,6
"figure ,  model group",6
hinge,6
"ostracon ,  forgery",6
"ointment-spoon ,  cosmetic-tool/implement",6
votive box,6
pyramidion,6
hanging lamp,6
pectoral cross,6
button,6
"dish ,  plate",6
"vase ,  model",6
"model ,  sandal",6
"figure ,  plaque ,  model group",6
"ostracon ,  wine-jar",6
figurine mould,6
foot stool,6
brewery,6
stemmed dish,6
ointment tablet,6
"figure ,  alabastron",6
unspecified cosmetic and medical equipment and implement,6
dress,6
spinning and weaving,6
stopper,6
spindle,6
"jewellery-fitting ,  collar",6
mummy cover,6
collar,6
"string ,  binding",6
clepsydra,6
"alabastron ,  figure",6
talatat,6
game-board,6
unspecified coffin,6
toys/games,6
sealstone,6
"textile ,  curtain",6
awl,6
"bottle ,  snuff-bottle",6
musical instruments,6
"vessel ,  figure",5
throw-stick,5
bread,5
bow,5
"oinochoe  ,  amphora",5
"photographic print  ,  album ,  postcard",5
ink-well,5
"papyrus-sealing ,  seal-impression",5
"model ,  vase",5
"dish ,  ostracon",5
coffee-cup,5
pump drill,5
game,5
tray,5
mace-head,5
apron,5
canteen token,5
"unspecified warfare,hunting,fishing equipment",5
leg,5
coffee-pot,5
pick,5
human hair,5
polisher,5
neck-ornament,5
cross,5
bezel,5
"amulet  ,  figure",5
ring seal,5
wedding-dress,5
filter,5
mummy-case,5
waster,5
"tile ,  frieze",5
"print ,  ornament print",5
coin-weight,5
phiale,5
"figure ,  relief",5
"wall-painting ,  architecture",5
hat,5
shabti coffin,5
measuring of weight,5
"model ,  figure",5
stick,5
"textile ,  wall-hanging",5
"sistrum ,  votive offering",5
document,5
