,Unique Values,Count
4564,"Amulet, Maat seated",1
3535,"Amulet, Menat",1
542,"Amulet, Min",3
4851,"Amulet, Monkey, baby",1
3258,"Amulet, Mosquito deity",1
4735,"Amulet, Nefer-sign, Was",1
833,"Amulet, Nefertum",2
682,"Amulet, Nehebkau",2
1920,"Amulet, Nehebkau, Nesenaset",1
673,"Amulet, Nehebkau, snake",2
2152,"Amulet, Neith",1
2491,"Amulet, Neith, crocodiles",1
2146,"Amulet, Nekhbet",1
1108,"Amulet, Nephthys",2
2502,"Amulet, Omphale",1
2483,"Amulet, Omphale figure",1
2350,"Amulet, Osiris",1
2953,"Amulet, Pakhet",1
3328,"Amulet, Papyrus column",1
3329,"Amulet, Papyrus column, plaque",1
218,"Amulet, Pataikos",7
1434,"Amulet, Pataikos on crocodiles",1
2388,"Amulet, Patakios",1
5277,"Amulet, Persea Fruit",1
3537,"Amulet, Ptah",1
1893,"Amulet, Ptah on crocodiles",1
503,"Amulet, Ptah-Sokar",3
3295,"Amulet, Ptaikos on crocodiles",1
3433,"Amulet, Queen Ahmose Nefertari, Fish",1
3536,"Amulet, Ram",1
1435,"Amulet, Re",1
2460,"Amulet, Re, sundisk",1
1059,"Amulet, Sa",2
164,"Amulet, Sakhmet",9
2150,"Amulet, Selket",1
3948,"Amulet, Shen, Reniseneb",1
3325,"Amulet, Shrine, Nefertum",1
123,"Amulet, Shu",11
4146,"Amulet, Sithathoryunet",1
3327,"Amulet, Situla",1
170,"Amulet, Son of Horus",8
1501,"Amulet, Son of Horus, human headed",1
2865,"Amulet, Son of Horus, monkey headed",1
3319,"Amulet, Sow",1
3512,"Amulet, Sweret",1
29,"Amulet, Taweret",40
4676,"Amulet, Taweret with lion head",1
1438,"Amulet, Taweret, double head",1
1719,"Amulet, Taweret, strung",1
141,"Amulet, Thoth",10
1503,"Amulet, Tit",1
5235,"Amulet, Tjes-knot",1
3714,"Amulet, Toad",1
630,"Amulet, Turtle",3
2349,"Amulet, Tusk",1
2794,"Amulet, Two-finger amulet",1
4776,"Amulet, Uraeus, Djedmutesankh",1
3075,"Amulet, Vulture",1
2802,"Amulet, Was",1
997,"Amulet, Wedjat Eye, Maatkare",2
37,"Amulet, Wedjat eye",34
4852,"Amulet, Wedjat eye, Amenhotep II",1
4488,"Amulet, Wedjat eye, Maat",1
4502,"Amulet, Wedjat eye, nefer",1
1499,"Amulet, Wedjat eye, plaque",1
1497,"Amulet, Wedjat eye, quadruple",1
1124,"Amulet, Wepwawet",2
1251,"Amulet, Woman with Child",1
5089,"Amulet, ancestor bust",1
3922,"Amulet, ankh, Thutmose IV",1
2501,"Amulet, ankh, djed, was scepter",1
580,"Amulet, ankh, was-scepters",3
1888,"Amulet, ba",1
492,"Amulet, ba-bird",3
2295,"Amulet, ba-bird, Isetweret",1
147,"Amulet, baboon",9
4644,"Amulet, baboon, lunar disk",1
2158,"Amulet, baboons, djed pillar, sundisk",1
2897,"Amulet, bandage, folded cloth, menkhet",1
2678,"Amulet, bat",1
3518,"Amulet, bat, Hapiankhtifi",1
1151,"Amulet, beetle",2
1134,"Amulet, benu",2
507,"Amulet, bird",3
4539,"Amulet, bird, falcon",1
2322,"Amulet, birds, neb-basket",1
4805,"Amulet, black african head",1
3255,"Amulet, bovine",1
5091,"Amulet, bull",1
2405,"Amulet, bull head",1
4678,"Amulet, calf head",1
1796,"Amulet, cartouche, Amenhotep III",1
726,"Amulet, cartouche, Nebmaatre",2
587,"Amulet, cat",3
3301,"Amulet, cat, Aakheperkare",1
2887,"Amulet, cobra, Tiye",1
830,"Amulet, cow",2
4679,"Amulet, cow head",1
2461,"Amulet, cow-headed goddess",1
4553,"Amulet, crescent moon, iah",1
434,"Amulet, crocodile",4
2347,"Amulet, crown pendant",1
4682,"Amulet, crown, Upper Egypt",1
2020,"Amulet, cylinder",1
222,"Amulet, djed pillar",7
2885,"Amulet, djed pillar, Tiye",1
2825,"Amulet, dog",1
3459,"Amulet, double horns",1
515,"Amulet, duck",3
4876,"Amulet, duck, Menkheperkare",1
4694,"Amulet, dwarf, Pataikos",1
5143,"Amulet, ear plaque",1
3357,"Amulet, elephant",1
1923,"Amulet, erotic",1
807,"Amulet, face",2
71,"Amulet, falcon",17
4697,"Amulet, falcon headed",1
795,"Amulet, falcon pendant",2
1286,"Amulet, falcon-headed crocodile",1
343,"Amulet, female sphinx",5
3356,"Amulet, figure pendant",1
2899,"Amulet, figure, deity",1
118,"Amulet, fish",11
1437,"Amulet, fist",1
511,"Amulet, fly",3
3259,"Amulet, fly, Queen Ahhotep",1
280,"Amulet, frog",5
2190,"Amulet, from mummy",1
2144,"Amulet, fying falcon, sundisk",1
4591,"Amulet, goat",1
2282,"Amulet, god, disk, uraeus, short wig",1
4695,"Amulet, god, ram-headed",1
3147,"Amulet, grapes",1
2852,"Amulet, hand",1
1849,"Amulet, hare",1
2330,"Amulet, head fragment",1
2447,"Amulet, head, boy",1
2919,"Amulet, head, goddess",1
477,"Amulet, heart",3
2193,"Amulet, heart, Isetweret",1
1172,"Amulet, heart, Painedjem I",1
2858,"Amulet, heart, Tiye",1
3266,"Amulet, hedgehog, string",1
4698,"Amulet, helmet",1
4692,"Amulet, helmet, headdress",1
363,"Amulet, henu barque",4
578,"Amulet, hieroglyphic",3
2164,"Amulet, hippo",1
479,"Amulet, hippopotamus",3
2503,"Amulet, horse",1
2462,"Amulet, human head, lotus",1
553,"Amulet, human-headed cat",3
2492,"Amulet, hybrid deity",1
4671,"Amulet, hybrid, bird, baboon",1
755,"Amulet, ibis",2
2498,"Amulet, ibis, maat feather",1
1436,"Amulet, jackal",1
2571,"Amulet, kind of ba bird",1
2247,"Amulet, leg",1
321,"Amulet, lion",5
537,"Amulet, lion head",3
3762,"Amulet, lion headed goddess",1
4673,"Amulet, lion, atef",1
609,"Amulet, lion-headed deity",3
2505,"Amulet, lion-headed goddess",1
1830,"Amulet, lions back to back",1
254,"Amulet, monkey",6
4218,"Amulet, monkey, musicians, flute, harp",1
4663,"Amulet, monkey, serpent tail",1
2211,"Amulet, mouth, Isetweret",1
2363,"Amulet, nefer",1
1060,"Amulet, owl",2
5078,"Amulet, ox head, foundation deposit, Tawosret",1
2395,"Amulet, oxyrhynchus fish",1
336,"Amulet, papyrus column",5
989,"Amulet, papyrus scepter",2
2914,"Amulet, papyrus scepter, Nesenaset",1
2156,"Amulet, papyrus scepter, wadj",1
1445,"Amulet, pataikos",1
2148,"Amulet, phallus",1
4690,"Amulet, plaque",1
2898,"Amulet, plaque with wadjet eye, Nesenaset",1
4691,"Amulet, plaque, Hathor",1
2206,"Amulet, plaque, rectangular",1
1852,"Amulet, plumes",1
