,Unique Values,Count
1177,"Cone, circle,  Hekaneheh, overseer of horses",1
1187,"Cone, circular impression, Aamy, fan-bearer, Lord, Two Lands",1
690,"Cone, circular impression, Aanen, scribe",2
1460,"Cone, circular impression, Ahmose, high priest, Amun, Thutmose III, TT 121",1
1215,"Cone, circular impression, Amenemhab",1
576,"Cone, circular impression, Amenemhab, wab-priest",3
1211,"Cone, circular impression, Amenemhat, goldsmith, Amun-Re, Tahut, house mistress",1
671,"Cone, circular impression, Amenemopet, Tjanefer, scribe, Amun, overseer, fields",2
1466,"Cone, circular impression, Amenemopet, Tjanefer, scribe, grain of Amun, fields",1
1452,"Cone, circular impression, Amenhotep",1
1236,"Cone, circular impression, Amenhotep, Thutmose I, Ren, singer of Amun",1
688,"Cone, circular impression, Bak, steward, Thutmose I, Nay, house mistress, Aye",2
3040,"Cone, circular impression, Djehuty",1
386,"Cone, circular impression, Djehutynefer",4
1461,"Cone, circular impression, Djeserka, scribe of accounts, granaries of Amun",1
1405,"Cone, circular impression, Hapuseneb, high priest, seal-bearer",1
3034,"Cone, circular impression, Iaiefib, seal-bearer, Priest",1
3033,"Cone, circular impression, Iaiefib, seal-bearer, priest",1
356,"Cone, circular impression, Ibety, herald",4
1196,"Cone, circular impression, Imiamun, beekeepers, overseer, king",1
1160,"Cone, circular impression, Ineni",1
3037,"Cone, circular impression, Ineni, inspector of scribes",1
1468,"Cone, circular impression, Kaemamun, prophet, Meryre, singer, Amun, Thutmose III",1
1168,"Cone, circular impression, Kaemamun, seal-bearer, Lower Egypt, prophet, Amun",1
1101,"Cone, circular impression, Kaemre, Isy, steward",2
1186,"Cone, circular impression, Kamose, Nentawaref, child, nursery",1
1371,"Cone, circular impression, Kha",1
1456,"Cone, circular impression, Maaty, scribe, Huy, house mistress",1
1198,"Cone, circular impression, Menkheperreseneb, royal scribe, double granary",1
1171,"Cone, circular impression, Menkheperresonb, double granary, Amun, Thutmose III",1
2814,"Cone, circular impression, Merymose, king's son, Kush",1
731,"Cone, circular impression, Meryremetjef, sailor, Amun, Mut, house mistress",2
658,"Cone, circular impression, Min, overseer of the seal",2
425,"Cone, circular impression, Min, scribe, overseer, priest, Osiris, oasis, TT 109",4
882,"Cone, circular impression, Min, treasurer",2
1542,"Cone, circular impression, Montuemhat",1
2968,"Cone, circular impression, Montuemhat, Shepenmut",1
1183,"Cone, circular impression, Nakht",1
1210,"Cone, circular impression, Nebansu, sailor, Amun",1
1383,"Cone, circular impression, Nebwer, guardian, house, high priest, Amun",1
1447,"Cone, circular impression, Neferperet, cup-bearer",1
2801,"Cone, circular impression, Nefretper, cup-bearer",1
1450,"Cone, circular impression, Nentaweref",1
1462,"Cone, circular impression, Pa-Aten, scribe",1
1463,"Cone, circular impression, Pa-Aten, scribe, granary of breads",1
1178,"Cone, circular impression, Paser, child, nursery, bowman, followers",1
1394,"Cone, circular impression, Ramose, vizier",1
1453,"Cone, circular impression, Re",1
1360,"Cone, circular impression, Sapair, wab-priest of Amun",1
1201,"Cone, circular impression, Senenmut, steward, Amun, Neferure, cattle, boat",1
1217,"Cone, circular impression, Sennefer, mayor, overseer, steward, Amun",1
1238,"Cone, circular impression, Simut, Medjay",1
1475,"Cone, circular impression, Simut, deputy, Medjay",1
1204,"Cone, circular impression, Turo, chief, Medjay",1
2790,"Cone, circular impression, Userhat, overseer, cattle of Amun",1
1392,"Cone, circular impression, Userhat, royal scribe, accounts, cattle",1
1376,"Cone, circular stamp, Merymose, Kush",1
417,"Cone, circular stamp, Merymose, king's son, Kush",4
1384,"Cone, circular stamp, Sennetjer, scribe",1
1599,"Cone, circular, Mutirdis, divine adoratrice",1
295,"Cone, curcular impression, Djehuty, first prophet of Amun, seal-bearer",5
597,"Cone, curcular impression, Ineni, inspector of scribes",3
1050,"Cone, curcular impression, Ineni, overseer of scribes",2
723,"Cone, oval impression, Abekh, Steward",2
1080,"Cone, oval impression, Abekh, steward",2
1464,"Cone, oval impression, Khonsu, steward",1
1448,"Cone, oval impressions, Wershu, Henet, square cone, chief servant of Amun",1
1368,"Cone, oval stamp, Tjay",1
1804,"Cone, oval, Heqaerneheh, child, nursery, royal tutor, TT 64",1
2813,"Cone, rectangular  impression, Djehutimose, wab priest",1
1420,"Cone, rectangular  impression, Djehutymose, wab priest",1
1596,"Cone, rectangular , Amenemhat, divine adoratrice, wardrobe, chamberlain",1
1449,"Cone, rectangular impression , Djehutymose, wab priest",1
1421,"Cone, rectangular impression, Kaemamun, prophet of Amun, Sikednu, Thutmose III",1
1458,"Cone, rectangular impression, Neferhotep, scribe of Amun, Meryre, house mistress",1
1163,"Cone, round, Hatiay, Anubis, Khonsu, Montu",1
1572,"Cone, round, Padiamunnebnesuttawy, chancellor, Amun, lector, priest Beniuutehhor",1
1164,"Cone, round, Surer, royal scribe, fanbearer",1
1454,"Cone, square impression, Amenemhab, minstrel, king",1
1597,"Cone, square impression, Basa, steward, divine adoratrice, Padibastet, TT 279",1
119,"Cone, uninscribed",11
3664,Console,1
3864,Corbel,1
1004,"Core, Levallois",2
1711,"Core, Levallois, Nubian A",1
2629,"Core, discoidal, opposite-platform, opposed-platform",1
4232,Corner of a block with cartouche of Akhenaten,1
707,Cosmetic Pin,2
3375,"Cosmetic Pin, bird",1
1585,Cosmetic Spoon,1
5083,"Cosmetic Spoon, Hathor head",1
4901,"Cosmetic Spoon, Mouse",1
4872,"Cosmetic Spoon, Swimming Woman, Gazelle",1
1261,"Cosmetic box, Kemeni, mirror, Reniseneb, jars",1
3056,"Cosmetic box, cartouche shaped",1
5325,"Cosmetic box, swivel lid",1
4920,"Cosmetic box, swivel lid, composite capital",1
3403,"Cosmetic box, swivel top",1
5194,"Cosmetic box, swivel top, cartouches of Ramesses II and Queen Nefertari",1
3738,"Cosmetic dish, bound antelope",1
1032,"Cosmetic dish, duck",2
3739,"Cosmetic dish, lotus flower, lotus buds",1
1745,"Cosmetic handle, duck head",1
234,Cosmetic jar,6
5220,"Cosmetic jar, open-mouthed, Neferkhawet",1
1259,Cosmetic spoon,1
4327,"Cosmetic spoon handle, swimming girl",1
3232,"Cosmetic spoon, dog",1
3763,"Cosmetic spoon, handle, feline, leopard",1
3525,"Cosmetic spoon, swimming girl",1
735,Cosmetic tool,2
1744,"Cosmetic tool, hand",1
1260,Cosmetic vessel,1
3737,"Cosmetic, spoon, duck, goose, bird",1
1188,"Cosmetic,spoon, feline",1
628,Counter,3
3857,Cover,1
2151,Cover for eye or belly button,1
3514,Cowrie shells,1
197,Cowroid,7
2800,Cowroid seal,1
1736,Cowroid with Hathor emblem,1
5217,"Cowroid, Ahmose-Nefertari, God's Wife",1
4497,"Cowroid, Amenhotep III, Nebmaatre",1
4177,"Cowroid, Auserre  Apophis",1
5253,"Cowroid, Hatshepsut",1
4365,"Cowroid, Hatshepsut FD, Menkheperre, red crown",1
4413,"Cowroid, Hatshepsut FD, papyrus",1
4364,"Cowroid, Hatshepsut FD, papyrus boat, rosette",1
4414,"Cowroid, Hatshepsut FD, red crowns, plant",1
4363,"Cowroid, Hatshepsut FD, rope, papyrus",1
5290,"Cowroid, Hatshepsut FD, vultures, ankh",1
4981,"Cowroid, Hatshepsut, God's Wife",1
4941,"Cowroid, Hatshepsut, falcon back",1
4366,"Cowroid, Maatkare, ankhti",1
3920,"Cowroid, Queen Ahmose Nefertari",1
2833,"Cowroid, Ruiu, ankhs",1
2895,"Cowroid, Thutmose I, Aakheperkare,",1
1140,"Cowroid, Thutmose II",2
5328,"Cowroid, ankh",1
2844,"Cowroid, floral",1
1867,"Cowroid, goddess, was scepter",1
5286,"Cowroid, hes-vase, lotus",1
2841,"Cowroid, hetep, frog, lizard, Rennefer",1
4496,"Cowroid, maat feather",1
535,"Cowroid, nefer",3
2738,"Cowroid, ring",1
5327,"Cowroid, ring bezel",1
5285,"Cowroid, ring bezel, ankh",1
4550,"Cowroid, rosette, seal amulet, design amulet",1
4498,"Cowroid, seal amulet, design amulet, Maat feather",1
3385,"Cowroid, setting",1
2845,"Cowroid, tilapia fish eating lotus",1
4551,"Cowroids , nefer, heka, maat, ankh, sa",1
1651,Crocodile figure,1
1673,"Crocodile head, mummy mask",1
4528,"Crocodile, shrine-shaped base",1
62,Cross,20
3900,Crosses,1
2004,"Crown edge, discs, 2 adjoining surfaces",1
4234,"Crown fragment, disks",1
204,Crown with discs,7
2003,"Crown with discs section, frontlet or rear edging",1
2000,"Crown with discs, uraeus coils, frontlet",1
2174,Crown with disks,1
2002,"Crown with disks, uraeus coils",1
4409,"Crown, composite",1
2001,"Crown, disks, part of right ear",1
414,Crucible,4
3898,Crucifix,1
1843,Cubit rod fragment,1
157,Cup,9
5049,"Cup , laurel sprays",1
1647,"Cup fragment, flattened",1
3072,"Cup, Aegean",1
3058,"Cup, Amenhotep IV, Nefertiti. goblet",1
5104,"Cup, Baki, cylindrical",1
1939,"Cup, Nesikhonsu",1
776,"Cup, Nesikhonsu, royal cache, Painedjem II",2
3932,"Cup, Nuzi, Mitanni, button-base",1
5169,"Cup, Ramesses VII",1
3186,"Cup, feeding",1
4787,"Cup, floral decoration",1
2356,"Cup, foundation deposit",1
2464,"Cup, lid",1
3928,"Cup, metal, handle",1
4387,"Cup, open-mouthed, red ware",1
4380,"Cup, painted",1
3196,"Cup, spout",1
4645,"Cup, spouted",1
789,Curved surface,2
2127,"Curved surface, flat surface",1
2135,Cylinder Seal,1
4088,"Cylinder Seal, bilingual, Sehetepibre II",1
3042,Cylinder bead group,1
3891,Cylinder fragment,1
31,Cylinder seal,39
4084,Cylinder seal inscribed Sobekhotep III,1
2565,"Cylinder seal or bead, unfinished or reused",1
1426,Cylinder seal with name of Amenemhat II and that of princess Khenemetneferhedjet,1
4086,Cylinder seal with the Horus name of Amenemhat VII,1
2894,"Cylinder seal, Ahmose-Nefertari, God's Wife, king's sister, king's daughter",1
1845,"Cylinder seal, Ahmose-Nefertari, great hereditary noblewoman, rp'tt wrt",1
1300,"Cylinder seal, Amenemhat II",1
668,"Cylinder seal, Amenemhat III",2
4089,"Cylinder seal, Amenemhat Sebekhotep",1
4087,"Cylinder seal, Amenemhat VI",1
929,"Cylinder seal, Amenhotep I, Djeserkare",2
2277,"Cylinder seal, Iswenut",1
4085,"Cylinder seal, King Sebekhotep III",1
4080,"Cylinder seal, Merneferre Aya",1
2261,"Cylinder seal, Neith",1
825,"Cylinder seal, Pepi I",2
2775,"Cylinder seal, Senwosret I",1
2767,"Cylinder seal, Senwosret III",1
2647,"Cylinder seal, geometric decoration, crossing lines",1
2776,"Cylinder seal, half, Amenemhat III",1
1243,"Cylinder seal, hieroglyphs, cartouche, Senwosret II",1
2015,"Cylinder seal, impression",1
556,"Cylinder seal, personal name",3
1055,"Cylinder seal, uninscribed",2
1241,"Cylinder, perhaps from a ceremonial whip",1
4290,Cylindrical bag of sawdust,1
1244,Cylindrical unguent vase with a lid,1
840,Dagger,2
2212,Decorated jar fragment,1
3955,Decorated spoon,1
4613,"Decoration, rosette",1
980,Decorative element,2
4499,"Design Amulet, seal amulet, hippopotamus",1
3180,Diadem,1
4099,"Diadem, Senebtisi",1
3462,"Diadem, beads",1
1967,"Diadem, two gazelle heads in front",1
70,Dice,17
190,Die,8
4656,"Die, icosohedron",1
739,Digit fragment,2
3089,"Dipper juglet, Levantine painted ware",1
2072,Disc,1
88,Dish,14
4714,"Dish Fragment, Tiye",1
709,Dish fragment,2
2411,"Dish fragment, Apries",1
3654,"Dish fragment, Hathor of Dendera",1
4582,"Dish fragment, Nebmaatre, Amenhotep III",1
2427,"Dish fragment, gazelle",1
476,Dish saucer,3
4986,"Dish, Bolti fish",1
2371,"Dish, Hatshepsut, valley temple, foundation deposit",1
4989,"Dish, Isis and Horus",1
4843,"Dish, Tell el-Yahudiya ware, fish",1
4972,"Dish, Thutmose II, Hatnefer, Aakheperenre",1
5127,"Dish, blue-painted ware",1
3249,"Dish, dates",1
3626,"Dish, decorated, dates",1
4315,"Dish, flat",1
4391,"Dish, fragments",1
3665,"Dish, libation",1
3740,"Dish, lotus leaf",1
3524,"Dish, oryx",1
3549,"Dish, ox leg",1
3414,"Dish, plate",1
3625,"Dish, raisins",1
3563,"Dish, ram protomes",1
3469,"Dish, ritual event",1
2608,"Dish, shallow",1
5113,"Dish, wavy rim, blue-painted ware",1
600,Disk,3
1868,Disk inscribed with five-pointed star,1
1306,"Disk, formerly reconstructed as headpiece of a wig cover",1
1245,Dog,1
765,Donkey bag,2
704,Donkey rig,2
994,"Door Jamb, Rau",2
5241,"Door Jamb, Sitepihu",1
2102,"Door Lintel, Perneb",1
837,"Door Lintel, Senwosretankh",2
2259,"Door drum fragment, tomb of Meni",1
2249,"Door drum section, tomb of Mereri",1
5289,"Door jamb, Tomb of Sheshonq , Menkheper",1
4149,"Door jamb, temple of Ramesses II",1
777,Door panel,2
4108,"Door, lower part",1
3892,Doors,1
4221,"Double uraeus , disk and horns",1
1000,Dress,2
1220,"Duck seal amulet, Ahmose-Nefertari, God's Wife",1
2390,"Dwarf, youth",1
593,Ear Stud,3
986,Ear plug,2
4614,Ear stud,1
104,Earring,12
1142,"Earring, Spiral",2
4569,"Earring, bull head",1
976,"Earring, bull head terminal",2
3139,"Earring, bull-head",1
4306,"Earring, feather pattern, penannular",1
4580,"Earring, flower pendant",1
2855,"Earring, from cat mummy",1
4810,"Earring, gilded glass",1
4710,"Earring, granulation",1
4532,"Earring, head of a bull",1
2911,"Earring, head of bull",1
1057,"Earring, head of lion-griffin",2
4530,"Earring, head of ram, disk, uraei",1
4825,"Earring, hieroglyphic plaque",1
564,"Earring, ibex head",3
1095,"Earring, lion-griffin",2
111,"Earring, penannular",12
429,"Earring, penannular, beaded",4
800,"Earring, penannular, ribbed",2
256,"Earring, pennanular",6
2910,"Earring, ram head",1
2527,"Earring, ribbed penannular",1
1065,"Earring, ribbed, penannular",2
285,"Earring, spiral",5
604,Earrings,3
4835,"Earrings, Maenad-head",1
5008,"Earrings, S-hoop, pearls",1
270,"Earrings, boat shaped, filagree",6
4704,"Earrings, bull head terminal",1
4811,"Earrings, conical",1
4817,"Earrings, crescent, balls, granulation",1
4814,"Earrings, hoop, coiled wire pendant",1
4824,"Earrings, hoop, disk, pendant of balls",1
445,"Earrings, ibex head terminal",3
4932,"Earrings, ibex heads",1
4570,"Earrings, lion-griffin",1
4871,"Earrings, penannular, ribbed",1
4812,"Earrings, vessel-shaped",1
4224,Edge of a block with cartouche of Nefertiti,1
1978,"Edge of a block, epithets of king",1
2326,"Egg, ostrich",1
322,Elbow,5
750,Elbow or shoulder,2
1138,"Elbow, with garment",2
3888,Element with a Domical Shape,1
2913,Embalmer's Needle,1
4392,Embalmer's Sticks,1
698,Embalmer's Swab,2
710,Embalming tool,2
369,Ewer,4
2884,"Facsimile, Djari , offerings, netting fowl",1
2632,"Facsimile, threshing",1
648,Falcon amulet,2
3641,"False Door Niche block, Akhtihotep, corner",1
4648,"False Door Niche block, Merykhufu",1
4948,"False Door, lintel block, Mery's Mastaba",1
3697,"False Door, niche of Inpuemhat",1
1159,"False door, niche stela, solar hymns",1
3661,"False door, tomb of Metjetji",1
1582,Fan fragment,1
5004,Fan palm,1
1191,"Feline-Headed Girdle, Anklets, Bracelets, Sithathoryunet-view-jewelry",1
912,Female figure,2
105,Female sphinx amulet,12
3624,Female statuette with cartouches of Necho II on her arms,1
2540,"Ferrule, stick",1
191,Figure,8
2566,Figure of Bes,1
1486,"Figure of Bes, papyriform capital, Beset",1
1890,Figure of Nehebkau,1
3782,Figure of a Striding Man,1
3824,Figure of a Striding Man in a Long Kilt,1
1635,Figure of a rearing cobra with feline head,1
3799,Figure of a seated cat,1
3774,"Figure of an Apis Bull, sacred",1
3779,"Figure of an ibis wearing an atef crown, with a suspension loop, pendant",1
2700,Figure of captive,1
1891,Figure of the goddess Maat,1
4573,"Figure, Bastet",1
3557,"Figure, Crocodile",1
2703,"Figure, crocodile",1
2652,"Figure, human",1
433,Figurine,4
2443,"Figurine Fragment, male head",1
2661,Figurine fragment,1
2442,"Figurine fragment, Human Head",1
2581,"Figurine fragment, dwarf",1
2662,"Figurine fragment, female figure with child",1
894,"Figurine fragment, human",2
2200,"Figurine fragment, male torso",1
4723,"Figurine group, Bes, Musicians",1
2353,"Figurine group, animals",1
1624,"Figurine group, cat with kittens",1
2681,"Figurine of foreigner, magical",1
2446,"Figurine,  falcon",1
458,"Figurine, Apis",3
446,"Figurine, Apis bull",3
1490,"Figurine, Apis, Padishernefer, Khonsuirdis",1
298,"Figurine, Baboon",5
3607,"Figurine, Baboon, upper half",1
3140,"Figurine, Bastet, sistrum",1
2408,"Figurine, Bes",1
2378,"Figurine, Bes, column",1
3508,"Figurine, Calf's head",1
3709,"Figurine, Cat",1
2393,"Figurine, Cobra, red crown, papyrus stem",1
3566,"Figurine, Dog",1
3975,"Figurine, Donkey",1
3559,"Figurine, Dwarf with bowl",1
3359,"Figurine, Elephant",1
946,"Figurine, Falcon",2
2293,"Figurine, Falcon, double crown",1
3564,"Figurine, Fox",1
3755,"Figurine, Gazelle",1
2445,"Figurine, Harpokrates",1
2473,"Figurine, Harpokrates, double crown",1
1509,"Figurine, Hatmehyt as standard",1
100,"Figurine, Hippopotamus",13
3068,"Figurine, Hippopotamus, Reniseneb",1
4639,"Figurine, Horse",1
2636,"Figurine, Horus",1
2286,"Figurine, Horus falcon",1
2292,"Figurine, Horus falcon, papyrus stem",1
802,"Figurine, Ibis",2
1702,"Figurine, Ibis head",1
1654,"Figurine, Ichneumon",1
2289,"Figurine, Jackal standard",1
3612,"Figurine, Jerboa",1
3560,"Figurine, Lion upright",1
2209,"Figurine, Min",1
2210,"Figurine, Nehebkau, snake",1
2182,"Figurine, Patiakos, dwarf",1
3710,"Figurine, Shrew",1
548,"Figurine, Taweret",3
3339,"Figurine, Uraeus",1
171,"Figurine, animal",8
1289,"Figurine, animal head",1
2593,"Figurine, ape",1
290,"Figurine, baboon",5
1294,"Figurine, baboon, Thoth",1
3256,"Figurine, bovine recumbent",1
846,"Figurine, bull",2
2651,"Figurine, bust, upper part",1
1320,"Figurine, calf",1
3172,"Figurine, calf recumbent",1
3599,"Figurine, captive, magical",1
84,"Figurine, cat",15
459,"Figurine, cat head",3
2605,"Figurine, cat, handle",1
1608,"Figurine, cat, on base",1
1114,"Figurine, cobra",2
2403,"Figurine, devot̩e",1
4142,"Figurine, dog",1
1819,"Figurine, donkey",1
297,"Figurine, falcon",5
2389,"Figurine, falcon, ithyphallic, snakes",1
2653,"Figurine, female",1
2658,"Figurine, female dwarf",1
2657,"Figurine, female dwarf with two infants",1
3926,"Figurine, female, fragmentary",1
3501,"Figurine, fertility, Hepy",1
2180,"Figurine, goddess",1
1237,"Figurine, griffin , Nemesis",1
2332,"Figurine, griffin head, Nemesis",1
2655,"Figurine, head",1
2436,"Figurine, head, horse",1
2404,"Figurine, hedgehog",1
498,"Figurine, hippopotamus",3
2654,"Figurine, hippopotamus head",1
3170,"Figurine, hippopotamus recumbent",1
2420,"Figurine, hippopotamus, sled",1
2303,"Figurine, horned quadruped",1
2196,"Figurine, human",1
1075,"Figurine, jackal",2
2179,"Figurine, jackal-headed archer",1
3988,"Figurine, jerboa",1
1513,"Figurine, lepidotus fish",1
373,"Figurine, lion",4
2441,"Figurine, male head",1
2440,"Figurine, man",1
2386,"Figurine, man, Ma'at standard",1
2394,"Figurine, man, tray of loaves",1
865,"Figurine, monkey",2
2606,"Figurine, monkey couple",1
1288,"Figurine, monkey kneeling",1
903,"Figurine, nude woman",2
1284,"Figurine, nude woman, jar on head",1
3449,"Figurine, obeisance, humble man crouch",1
3216,"Figurine, piglet",1
2496,"Figurine, prisoner, restraint, pillory",1
3425,"Figurine, seated adult, child",1
3376,"Figurine, seated woman",1
2301,"Figurine, shrew mouse",1
3082,"Figurine, turtle",1
3620,"Figurine, two hippopotomi",1
1285,"Figurine, woman",1
1239,"Figurine, woman and child, animal",1
1127,"Figurine, woman with baby",2
315,"Finger stall, Group 1",5
140,"Finger stall, Group 2",10
2674,Finger-shaped Cosmetic Scoop,1
3870,Finial,1
4990,"Finial, Osiris probably, nemes",1
4320,Fish,1
2568,Fish amulet,1
129,Fish hook,10
2073,Fish net floater,1
1431,Fish net needle,1
2242,Fish net weight,1
1489,"Fish net, on roll",1
2346,"Fish, appliqu̩",1
1703,Flail attachment,1
959,Flake tool,2
3867,Flap,1
3875,Flap of a bookbinding,1
610,Flask,3
2273,"Flask , goatskin form",1
4028,"Flask fragment, decorated, New Year's, ointment, chalice",1
2111,Flesh,1
2114,"Flesh, garment",1
466,Floral plaque,3
712,"Floral plaque, fragment",2
1229,"Flower, boss, stud",1
1652,Folio,1
603,Folio from a non-illustrated manuscript,3
629,Folio from an illustrated manuscript,3
3095,"Food case, goose, preserved meat, mummy",1
2092,"Food, Berry",1
3096,"Food, box, beef, shoulder",1
198,"Food, bread",7
2266,"Food, bread, conical",1
5284,"Food, bread, human",1
5333,"Food, bread, round",1
3091,"Food, case, bird, duck",1
3097,"Food, case, bird, pigeon",1
3093,"Food, case, pigeon, duck, goose, mummy",1
2267,"Food, fruit cake",1
3395,"Food, grain, burned",1
5278,"Food, tubers",1
4237,Foot and leg neck and chest,1
316,Foot fragment,5
5073,"Foot fragment, striding",1
4445,"Foot, left",1
4240,"Forearm against support, Aten cartouche",1
2171,"Forearm of bent arm, Aten cartouches, hand of Aten ray",1
360,"Forearm, Aten cartouche",4
4446,"Forearm, right, Aten cartouches",1
3776,Forepart of a reclining lion,1
4180,"Foundation Deposit Pit, Hatshepsut",1
400,Foundation Deposit Plaque,4
5179,"Foundation Deposit Plaque, Ibex, Ramesses IV",1
5181,"Foundation Deposit Plaque, Rectangular, Ramesses IV",1
5174,"Foundation Deposit Plaque, Ribs, Ramesses IV",1
5177,"Foundation Deposit Plaque, Slaughtered Ox, Ramesses IV",1
866,"Foundation Deposit Tablet, Mentuhotep II",2
4054,"Foundation Deposit, plaque",1
5180,"Foundation Deposit, plaque, Lotus, lily, Ramesses IV",1
5178,"Foundation Deposit, plaque, bird, Ramesses IV",1
5172,"Foundation Deposit, plaque, cartouche",1
871,"Foundation Deposit, plaque, cartouche, Ramesses IV",2
5176,"Foundation Deposit, plaque, foreleg, Ramesses IV",1
505,"Foundation Deposit, plaque, rectangular, Ramesses IV",3
5171,"Foundation Deposit. plaque, Rectangular",1
551,"Foundation deposit plaque, Amenemhat I",3
3192,"Foundation deposit, brick, tablet",1
2136,"Four Sons of Horus, Duamutef, jackal-headed, Djedmutesankh",1
2157,"Four sons of Horus, Duamutef, jackal-headed, Tiye",1
2142,"Four sons of Horus, Duamutef, jackel-headed",1
2126,"Four sons of Horus, Hapy, baboon-headed",1
2215,"Four sons of Horus, Hapy, baboon-headed, Djedmutesankh",1
2170,"Four sons of Horus, Hapy, baboon-headed, Tiye",1
4783,"Four sons of Horus, Imsety, human-head, Tiye",1
1950,"Four sons of Horus, Imsety, human-headed",1
4297,"Four sons of Horus, Imsety, human-headed, Djedmutesankh",1
4784,"Four sons of Horus, Imsety, human-headed, Nesenaset",1
2173,"Four sons of Horus, Qebehsenuef, falcon-headed",1
2133,"Four sons of Horus, Qebehsenuef, falcon-headed, Djedmutesankh",1
2153,"Four sons of Horus, Qebehsenuef, falcon-headed, Tiye",1
2,Fragment,405
2603,"Fragment from the sarcophagus of Usermaatre, son of Djedkhonsuefankh",1
3851,Fragment of Roundel,1
90,Fragment of a bowl,13
823,Fragment of a coat,2
612,Fragment of a cornice,3
3790,Fragment of a cover,1
2717,Fragment of a faience plaque with inscription,1
1974,Fragment of a female figure,1
632,Fragment of a hanging,3
215,Fragment of a non-illustrated single work,7
633,Fragment of a panel,3
3872,Fragment of a scroll,1
3845,Fragment of a sheet,1
620,Fragment of a sleeve,3
3881,Fragment of a sleeve band,1
2532,Fragment of magic knife,1
2542,Fragment of pendant,1
2759,"Fragment of weight, Neferu-sherit",1
4206,Fragment with Aten cartouche,1
2867,Fragment with the head of a man,1
4204,Fragment with working traces,1
5167,"Fragment, Feldspar",1
5173,"Fragment, Red Jasper",1
4203,"Fragment, bar",1
4205,"Fragment, beveled corner",1
2510,"Fragment, clay",1
239,"Fragment, clay section",6
2625,"Fragment, clay section, donut shaped",1
533,"Fragment, clay, ring beads",3
520,"Fragment, glazing slag",3
1250,"Fragment, necklace chain",1
2090,"Fragment, paste, Egyptian Blue",1
2089,"Fragment, salt",1
2713,"Fragment, stela",1
2668,"Fragment, toilet jar",1
4202,"Fragment, unknown elements, high relief",1
2815,"Fragment, unknown, rod",1
2515,"Fragment, vase",1
3794,Fragmentary band,1
3884,Fragmentary bowl,1
269,Fragments,6
3866,Fragments of  a non-illustrated single work,1
1003,Fragments of a non-illustrated single work,2
3668,Fragments of a stele,1
2531,"Fragments, amethyst",1
5019,"Fragments, clay pellets, ring beads",1
339,Frieze,5
193,Frieze fragment,8
4303,"Funerary Figure, Pakherenkhonsu, Ptah-Sokar-Osiris",1
1476,"Funerary Figure, Ptah-Sokar-Osiris",1
1885,"Funerary Figure, Ptah-Sokar-Osiris, Pestjauwymin",1
4911,Funerary broad collar with falcon head terminals,1
595,Funerary cone,3
3000,"Funerary figure, Duamutef",1
3972,"Funerary figure, Duamutef, Viscera figure",1
2999,"Funerary figure, Hapy",1
1660,"Funerary figure, Imsety",1
3971,"Funerary figure, Imsety, Viscera figure",1
4277,"Funerary figure, Osiride",1
5314,"Funerary figure, Osiride, Ahhotep",1
5311,"Funerary figure, Osiride, Hatnefer",1
5312,"Funerary figure, Osiride, Hatnefer, base",1
5313,"Funerary figure, Osiride, Iry",1
3001,"Funerary figure, Qebehsenuef",1
4270,"Funerary figurine, Saiah",1
4912,Funerary pectoral in the shape of a vulture,1
1268,Funerary statuette,1
1087,Furniture Leg,2
1099,"Furniture fragment, burned",2
1551,Furniture inlay,1
3707,"Furniture ornament, Cobra head",1
1324,Furniture part,1
3844,Furniture plaque,1
1356,Galena,1
3982,Game Board,1
4955,"Game Piece , leopard head with name of Hatshepsut",1
2313,Game Pieces,1
2220,"Game board, hounds & jackals",1
3679,"Game box, hounds and jackals, Reniseneb",1
1966,"Game box, senet, gazelles, hounds, lions",1
3466,"Game counter, knuckle bone",1
3402,"Game counters, knuckle bones",1
251,Game piece,6
1689,"Game piece , bird head",1
3015,Game piece with lion head,1
1088,"Game piece, baboon",2
4622,"Game piece, bull head",1
264,"Game piece, conical",6
306,"Game piece, conical, burial 8",5
4630,"Game piece, knuckle bone, Omphale",1
3427,"Game piece, lion",1
115,"Game piece, marble",11
543,"Game piece, spool",3
291,"Game piece, spool, burial 8",5
3927,"Game pieces , knucklebones",1
805,Gaming pieces,2
1956,"Garland, Nauny",1
4459,"Garment fragment , gathers",1
947,"Garment fragment , probably male, pleats",2
4458,"Garment fragment,  kilt, knee",1
4457,"Garment fragment, royal kilt, knee",1
1983,Garment pleats,1
618,Girdle,3
3274,"Girdle, Sithathoryunet",1
3764,"Girdle, Sithathoryunet, leopard head",1
3585,"Girdle, beads, Senebtisi",1
1193,"Girdle, bracelets, anklets, Sithathoryunet-view-jewelry",1
4269,"Girdle, fish",1
2402,"Girdle, hip belt, fiber",1
5132,Glass,1
2456,Glass fragment,1
2934,Glass rod,1
4602,"Glass rod, black",1
2935,"Glass rod, blue",1
2932,"Glass rod, green",1
2937,"Glass rod, light blue",1
2287,"Glass rod, sema tawy",1
4595,"Glass rod, yellow",1
2933,"Glass rods, blue",1
3184,Globular Jar of King Merneferre Aya,1
4713,"Goblet fragment, heb-sed",1
3593,Gold fragments,1
3600,Gold leaf fragments,1
3678,Gooleh top,1
3847,Gourd,1
5153,Graffito,1
2757,Grinding slab,1
2756,"Grinding slab, paint",1
2161,Grinding stone,1
3565,"Grinding stone, grinder",1
