,Unique Values,Count
25,,1
2,Ceramics,681
14,Ceramics-Tiles,17
10,Codices,56
22,Coins,2
17,Gaming pieces,9
6,Glass,162
8,Ivories and Bone,74
9,Jewelry,58
15,Leather,12
24,Main dress-Womenswear,2
11,Metal,52
20,Miscellaneous,4
5,Sculpture,184
21,Seals,2
16,Stone,11
1,Textiles,1436
23,Textiles-Brocades,2
18,Textiles-Costumes,8
7,Textiles-Embroidered,78
13,Textiles-Painted and,30
12,Textiles-Rugs,33
19,Textiles-Tapestries,4
3,Textiles-Woven,228
4,Wood,225
0,unknown,11525
