,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
366,RC-930 - Literary Tablet,Mesopotamian,,,,Clay,,735.jpg
367,RC-944 - Capital,Egyptian,,,,Silver,Sculpture,429.jpg
368,RC-947 - Mummiform Doll,Egyptian,18TH,1375 BCE,Amarna,,Toys/Games,430.jpg
369,RC-948 - Shawabti/ Overseer,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,425.jpg
370,RC-958 - Cartouche Relief Fragment,Egyptian,18TH,1353 - 1335 BCE,Amarna,Stone,Epigraphy,139.jpg
371,RC-960 - Altar Lectern Relief Fragment,Egyptian,18TH,1353 - 1335 BCE,Amarna,Limestone,Epigraphy,582.jpg
372,RC-962 - Cartouche Fragment,Egyptian,18TH,1353 - 35 BCE,Amarna,Aswan Granite,Epigraphy,112.jpg
373,RC-1032 - Mirror/ Without Handle,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Toiletries,812.jpg
374,RC-1040 - Ba,Egyptian,,30 BCE - 323 CE,Greco-Roman,Wood,Sculpture,631.jpg
375,RC-1047 - Brick,Mesopotamian,,,,Glazed Clay,Sumerian,651.jpg
376,RC-1050 - Contract Tablet Frag/ Sealed,Mesopotamian,,500 - 450 BCE,Late Babylonian,Clay,Babylonian,327.jpg
377,RC-1053 - Administrative Tablet,Mesopotamian,,595 BCE,Late Babylonian,Clay,Babylonian,276.jpg
378,RC-1055 - Tag/ Sealed,Mesopotamian,,2004 - 1595 BCE,Old Babylonian,Clay,Babylonian,267.jpg
379,RC-1059 - Lute-Player Ring,Egyptian,18,,New Kingdom,Faience,Jewelry,882.jpg
380,RC-1066 - Battle Axe,Egyptian,18TH,1570 - 1293 BCE,New Kingdom,Bronze,Tools,790.jpg
381,RC-1070 - Bell,Egyptian,12TH,"2,000 BCE",Middle Kingdom,Bronze,Musical Instruments,920.jpg
382,RC-1071 - Fish Hook,Egyptian,,395-641 CE,Late Roman,Bronze,Tools,901.jpg
383,RC-1073 - Harpoon,Egyptian,,323 - 500 CE,Coptic/Byzantine,Iron,Tools,431.jpg
384,RC-1076 - Comb,Egyptian,,100-200 CE,Coptic/Byzantine,Boxwood,Toiletries,164.jpg
385,RC-1079 - Kohl Grinding Pallet,Egyptian,11TH,2100 BCE,Middle Kingdom,Marble,Toiletries,708.jpg
386,RC-1083 - Vase,Egyptian,4TH,2780 BCE,Old Kingdom,Banded Calcite,Vessels,142.jpg
