,Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
550,RC-1759 - Lady's Faiyum Portrait,Egyptian,,130 CE,Greco-Roman,Wood,Funerary,211.jpg
551,RC-1760 - Offering Scene Relief Fragment,Egyptian,12TH,1991-1782 BCE,Middle Kingdom,Limestone,Epigraphy,25.jpg
552,RC-1761 - Upper Torso Relief Fragment,Egyptian,,305 - 30 BCE,Ptolemaic,Limestone,Epigraphy,726.jpg
553,RC-1762 - Headrest,Egyptian,11 - 12TH,2133 - 1786 BCE,Middle Kingdom,Wood,Furniture,579.jpg
554,RC-1764 - Hapi/ Son of Horus,Egyptian,26 - 30TH,664 - 343 BCE,Late Period,Wood,Sculpture,1004.jpg
555,RC-1767 - Mask/ Coffin Fragment,Egyptian,20TH,1185-1070 BCE,New Kingdom,Wood,Funerary,11.jpg
556,RC-1768 - Shawabti,Egyptian,26TH,663 - 525 BCE,Saite Period,Faience,Ritual Objects,1015.jpg
557,RC-1769 - Seated Osiris,Egyptian,27 - 31ST,523 - 332 BCE,Late Period,Bronze,Sculpture,1016.jpg
558,RC-1771 - Weny Fragment,Egyptian,6TH,2400-2250? BCE,Old Kingdom,Limestone,Ritual Objects,624.jpg
559,RC-1772 - Child's Sandal/Left,Egyptian,18TH,1554 - 1320 BCE,New Kingdom,Papyrus,Toiletries,533.jpg
560,RC-1773 - Wesekh Collar,Egyptian,21 - 25TH,Saite Period,3rd Intermediate,Faience,Jewelry,1030.jpg
561,RC-1774 - Inspector of the Works Model,Egyptian,11TH,"2,000 BCE",Middle Kingdom,Wood,Funerary,22.jpg
562,RC-1777 - Usermontu's Coffin,Egyptian,26TH,664-525 BCE,Saite Period,wood and paint,Funerary,1017.jpg
563,RC-1779 - Mummy (from Usermontu's Coffin),Egyptian,26TH,Uncertain,3rd Intermediate,human mummy,Funerary,234.jpg
564,RC-1780 - Nebuchadnezzar II Cylinder,Mesopotamian,,604-562 BCE,Late Babylonian,Clay,Babylonian,297.jpg
565,RC-1791 - Osiris,Egyptian,,,,Bronze,Sculpture,686.jpg
566,RC-1792 - Anubis Amulet,Egyptian,,,,Bronze,Amulets,526.jpg
567,RC-1794 - Thoth Ibis Amulet,Egyptian,,,,Ceramic,Amulets,1018.jpg
568,RC-1797 - Isis Nursing Horus Amulet,Egyptian,,,,Clay,Amulets,1019.jpg
569,RC-1800 - Alabastron,Egyptian,28TH - PTOLEMAIC,400 - 200 BCE,Late Period,Glass,Toiletries,753.jpg
570,RC-1801 - Assurnasirpal Ii Tablet,Mesopotamian,,883 - 859 BCE,Neo Assyrian,Limestone,Assyrian,348.jpg
571,RC-1804 - Ibis Coffin,Egyptian,30TH,378 - 341 BCE,Late Period,Bronze,Sculpture,618.jpg
572,RC-1806 - Neith,Egyptian,27 - 30th,525 - 343 BCE,Late Period,Wood,Sculpture,12.jpg
573,RC-1808 - Amehotep Iii Kohl Tube,Egyptian,18TH,1417 - 1379 BCE,New Kingdom,Faience,Toiletries,202.jpg
574,RC-1809 - Standing Isis Holding Horus,Egyptian,27 - 31ST,525 - 30 BCE,Late Period Or Ptole,Terracotta,Sculpture,158.jpg
575,RC-1810 - Plowing Man Model,Egyptian,12TH,1991-1785 BCE,Middle Kingdom,wood and paint,Funerary,672.jpg
576,RC-1811 - Female Head,Egyptian,18 - 20TH,1403 - 1080 BCE,New Kingdom,Limestone,Sculpture,658.jpg
577,RC-1812 - Flask,Egyptian,21 - 22 ND,1070-712 BCE,3rd Intermediate,Faience,Vessels,329.jpg
578,RC-1814 - Headrest,Egyptian,,2061-1784 BCE,Middle Kingdom,Wood,Furniture,491.jpg
579,RC-1816 - Canopic Jar and Lid,Egyptian,26TH,664-525 BCE,3rd Intermediate,Banded Calcite,Vessels,55.jpg
580,RC-1817 - Hout-An-Khoui Stele,Egyptian,,305 - 30 BCE,Ptolemaic,Limestone,Funerary,779.jpg
581,RC-1818 - Cosmetic Container,Mesopotamian,,1000 BCE,,,Babylonian,285.jpg
582,RC-1819 - Cylinder Seal,Mesopotamian,,2500 BCE,,Calcite,Sumerian,106.jpg
583,RC-1825 - Knife,Egyptian,,323 - 642 CE,Coptic/Byzantine,Bronze,Tools,197.jpg
584,RC-1826 - Unguent Jar,Egyptian,,,,Banded Calcite,Toiletries,1020.jpg
585,RC-1828 - Cymbal,Egyptian,,2857-2630 BCE,,Mixed Metal,Musical Instruments,607.jpg
586,RC-1829 - Priest/Prince,Egyptian,26TH,685-525 BCE,Late Period,Basalt,Sculpture,534.jpg
587,RC-1830 - Female Coffin/ Lower Part,Egyptian,19TH,1290-1224 BCE,New Kingdom,Wood,Funerary,833.jpg
588,RC-1835 - Necklace,Egyptian,,,Middle Kingdom,Faience,Jewelry,356.jpg
589,RC-1842 - Jar,Egyptian,,,Amarna,Clay,Vessels,342.jpg
590,RC-1874 - Water Jug,Mesopotamian,,1000 BCE,,Pottery,Persian,198.jpg
591,RC-1887 - Bracelet,Mesopotamian,,1000 BCE,,Spun Glass,Persian,245.jpg
592,RC-1898 - Dagger,Mesopotamian,,1000 BCE,,Bronze,Persian,281.jpg
593,RC-1899 - Dagger,Mesopotamian,,1000 BCE,,Bronze,Persian,270.jpg
594,RC-1934 - Papyrus Fragment,Egyptian,,500-600 CE,Coptic/Byzantine,Papyrus,Epigraphy,915.jpg
595,RC-1935 - Papyrus Fragment,Egyptian,,600 CE,Coptic/Byzantine,Papyrus,Epigraphy,74.jpg
596,RC-1938 - Battle Axe,Egyptian,11 - 12TH,2061-1784 BCE,Middle Kingdom,Wood,Tools,19.jpg
597,RC-1940 - Osiris,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Bronze,Sculpture,893.jpg
598,RC-1945 - Thoth Baboon,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Sandstone,Sculpture,706.jpg
599,RC-1956 - Amulet Necklace/ Double Strand,Egyptian,,,,Faience,Jewelry,412.jpg
600,RC-1957 - Razor,Egyptian,? - 20TH,BEFORE 1080 BCE,New Kingdom Or Befor,Bronze,Toiletries,159.jpg
601,RC-1962 - Cross,Egyptian,,323 - 642 CE,,Steatite,Ritual Objects,525.jpg
602,RC-1972 - Lamp,Egyptian,,200 - 400 CE,Coptic/Byzantine,Terracotta,Lamps,427.jpg
603,RC-1977 - Hawk,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Limestone,Sculpture,721.jpg
604,RC-2007 - Bast,Egyptian,27 - 31ST,525 - 404 BCE,Late Period,Wood,Sculpture,659.jpg
605,RC-2009 - Corinthian Aryballos,Greek,,525-343 BCE,Late Period,Clay,Toiletries,368.jpg
606,RC-2010 - Sobek,Egyptian,,305 - 30 BCE,Ptolemaic,Bronze,Sculpture,95.jpg
607,RC-2011 - Pectoral Scarab,Egyptian,27 - 31ST,525 - 332 BCE,Late Period,Stone,Amulets,330.jpg
608,RC-2017 - Scarab Wing Fragment,Egyptian,,,,Faience,Amulets,825.jpg
609,RC-2018 - Isis Nursing Horus,Egyptian,,,,Bronze,Sculpture,1021.jpg
610,RC-2023 - Hare Amulet,Egyptian,,,,Clay,Amulets,601.jpg
611,RC-2038 - Kneeling Hapi,Egyptian,27 - 31ST,525 - 30 BCE,Late Period-Ptolemaic,Bronze,Sculpture,521.jpg
612,RC-2056 - Oxyrhynchus Fish,Egyptian,,600-300 BCE,Saite To Ptolemaic,Bronze,Sculpture,455.jpg
613,RC-2058 - Cup,Egyptian,,1570-656 BCE,New Kingdom/Saite,Faience,Vessels,675.jpg
614,RC-2059 - Pen-Amun Coffin Post,Egyptian,18TH,1570-1293 BCE,New Kingdom,Wood,Funerary,760.jpg
615,RC-2060 - Thoth  Ibis with Shrine,Egyptian,25  - 31ST,712 - 30 BCE,Late Period,Bronze,Sculpture,1022.jpg
616,RC-2061 - Spoon,Egyptian,18 - 20TH,1554 - 1080 BCE,New Kingdom,Calcite,Vessels,818.jpg
617,RC-2063 - Horus Or Harmerty Bust,Egyptian,30TH TO PTOLEMAIC,380 - 30 BCE,Ptolemaic,Limestone,Sculpture,52.jpg
618,RC-2064 - Spouted Jar,Mesopotamian,,1000 BCE,,Grayware,Persian,539.jpg
619,RC-2065 - Imhotep,Egyptian,26 - 30TH,664 - 342 BCE,Late Period,Bronze,Sculpture,642.jpg
620,RC-2067 - Iry and Meru Stele Fragment,Egyptian,6TH,2290 - 2150 BCE,1st Intermediate,Limestone,Funerary,554.jpg
621,RC-2069 - Husband and Wife Relief Frag,Egyptian,7 - 10TH,2250-2035 BCE,1st Intermediate,Limestone,Epigraphy,319.jpg
622,RC-2070 - Akhnaton Prayer Relief Fragment,Egyptian,18TH,1350-1341 BCE,Amarna,Limestone,Epigraphy,275.jpg
623,RC-2071 - Ta'awa Coffin,Egyptian,25 - 26TH,664-525 BCE,3rd Intermediate,wood and paint,Funerary,76.jpg
624,RC-2074 - Bowl,,,31 BCE - 395 CE,Roman,Glass,Vessels,79.jpg
625,RC-2079 - Greek Hydria Handle,,,499 - 400 BCE,,Bronze,Vessels,141.jpg
626,RC-2080 - Scribe's Canopic Jar,Egyptian,19-20TH,1549-1069 BCE,New Kingdom,Banded Calcite,Vessels,83.jpg
627,RC-2081 - Incense Burner,Egyptian,27 - 31ST,525-325 BCE,Late Period,Bronze,Ritual Objects,487.jpg
628,RC-2084 - Babylonian Spirit House,Mesopotamian,,2600 BCE,Old Assyrian,Terracotta,Assyrian,352.jpg
629,RC-2085 - Hathor Aegis,Egyptian,27-30TH,525 - 343 BCE,Late Period,Bronze,Ritual Objects,692.jpg
630,RC-2089 - Shabti of Men,Egyptian,18TH,1570-1293 BCE,New Kingdom,Limestone,Ritual Objects,583.jpg
631,RC-2092 - Coffin Hand/ Left,Egyptian,,,,Wood,Funerary,488.jpg
632,RC-2130 - Bracelet,Egyptian,,4000 - 3050 BCE,Predynastic,Stone,Jewelry,34.jpg
633,RC-2131 - Bracelet,Egyptian,,4000 - 3050 BCE,Predynastic,Stone,Jewelry,606.jpg
634,RC-2137 - Hare Amulet,Egyptian,,,,Clay,Amulets,608.jpg
635,RC-2151 - Razor,Egyptian,26TH,600 BCE,3rd Intermediate,Bronze,Toiletries,160.jpg
636,RC-2152 - Tweezers,Egyptian,26TH,600 BCE,3rd Intermediate,Bronze,Toiletries,472.jpg
637,RC-2163 - Akhenaten Offering Relief Frag,Egyptian,18TH,1353 - 35 BCE,Amarna,Sandstone,Epigraphy,1023.jpg
638,RC-2171 - Cat Mummy,Egyptian,,1090 - 945 BCE,3rd Intermediate,Animal Remains,Funerary,929.jpg
639,RC-2179 - Jar,Egyptian,3 - 6TH,2686 - 2181 BCE,Old Kingdom,Calcite,Vessels,189.jpg
640,RC-2181 - Adze Model,Egyptian,,,New Kingdom - Late Per,Wood,Funerary,857.jpg
641,RC-2182 - Fish Mummy,Egyptian,,525-343 BCE,Late Period,Fish Remains,Funerary,821.jpg
642,RC-2183 - Offering Tray,Egyptian,,2250-2035 BCE,1st Intermediate,Terracotta,Ritual Objects,808.jpg
643,RC-2186 - Tadinanefer Coffin,Egyptian,,332 BCE-395 CE,Ptolemaic,Wood,Funerary,17.jpg
644,RC-2190 - Osiris and Anubis Relief Frag,Egyptian,18TH,1100 BCE,New Kingdom,Limestone,Epigraphy,16.jpg
645,RC-2191 - Surgical Probe,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,722.jpg
646,RC-2192 - Surgical Spatula,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,24.jpg
647,RC-2193 - Surgical Scraping Spoon,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,390.jpg
648,RC-2194 - Surgical Probe,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,435.jpg
649,RC-2195 - Surgical  Probe,Egyptian,,332 BCE - 395 CE,Greco-Roman,Bronze,Tools,470.jpg
650,RC-2197 - Tablet,Mesopotamian,,1850 BCE,Sumerian,Clay,Sumerian,881.jpg
651,RC-2199 - Situlae,Egyptian,22ND,332 BCE - 395 CE,Greco-Roman,Bronze,Vessels,1024.jpg
652,RC-2204 - Crocodile Amulet,Egyptian,18TH,1600 BCE,New Kingdom,Faience,Amulets,422.jpg
653,RC-2208 - Female Bust,Egyptian,research for eighteenth,305 - 30 BCE,Ptolemaic,Limestone,Sculpture,614.jpg
654,RC-2209 - Bast,Egyptian,,,,Bronze,Sculpture,315.jpg
655,RC-2213 - Baboon Mummy,Egyptian,26TH - PTOLEMAIC,Uncertain,Late Per - Ptolemaic,Animal Remains,Funerary,372.jpg
656,RC-2220 - Bes Bust,Egyptian,,305 - 200 BCE,Ptolemaic,Egyptian Blue Faience,Sculpture,378.jpg
657,RC-2221 - Hathor Aegis,Egyptian,,767-525 BCE,Late Period,Bronze,Sculpture,1035.jpg
658,RC-2222 - Yeret-Hor-At Shawabti,Egyptian,26TH,664 - 610 BCE,Late Period,Limestone,Funerary,976.jpg
659,RC-2223 - Shawabti Fragment,Egyptian,19TH,1293 - 1185 BCE,New Kingdom,Calcite,Funerary,90.jpg
660,RC-2227 - Jar,Egyptian,1 - 2ND,3100-2705 BCE,Archaic Period,Banded Calcite,Vessels,379.jpg
661,RC-2228 - Votive Column,Egyptian,18TH,1360 - 1347 BCE,Amarna,Limestone,Ritual Objects,357.jpg
662,RC-2230 - Stele Fragment,Mesopotamian,,2900 - 2400 BCE,Sumerian,Schist,Sumerian,641.jpg
663,RC-2242 - Shawabti,Egyptian,,,,Wood,Ritual Objects,88.jpg
664,RC-2243 - Cat Head,Egyptian,27 - 31ST,525 - 30 BCE,Late Period,Bronze,Sculpture,820.jpg
665,RC-2244 - War Crown Fragment,Egyptian,18TH,1570-1293 BCE,Amarna ?,Faience,Sculpture,773.jpg
666,RC-2246 - Stele,Egyptian,,31 BCE - 395 CE,Late Roman,Limestone,Funerary,1025.jpg
667,RC-2247 - Coffin Fragment,Egyptian,1 - 2ND ?,PRE 1800 BCE,Early Dynastic ?,Terracotta,Funerary,636.jpg
668,RC-2250 - Canopic Jar and Lid,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Banded Calcite,Vessels,333.jpg
669,RC-2251 - Canopic Jar and Lid,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Banded Calcite,Vessels,903.jpg
670,RC-2252 - Canopic Jar and Lid,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Banded Calcite,Vessels,734.jpg
671,RC-2266 - Clavus Fragment,Egyptian,,,Coptic/Byzantine,Linen,Textiles,479.jpg
672,RC-2292 - Orbiculus,Egyptian,,,Coptic/Byzantine,Linen,Textiles,1029.jpg
673,RC-2302 - Clavus Fragment,Egyptian,,,Coptic/Byzantine,Linen,Textiles,888.jpg
674,RC-2393 - Takirtut Coffin Fragment,Egyptian,,300 BCE,Ptolemaic,Wood,Funerary,720.jpg
675,RC-2394 - Takirtut Coffin Fragment,Egyptian,,300 BCE,Ptolemaic,Wood,Funerary,43.jpg
676,RC-2395 - Takirtut Coffin Fragment,Egyptian,,300 BCE,Ptolemaic,Wood,Funerary,556.jpg
677,RC-2402 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,54.jpg
678,RC-2403 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,547.jpg
679,RC-2406 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,242.jpg
680,RC-2408 - Shawabti Mold,Egyptian,,C. 664 BCE,,Terracotta,Tools,343.jpg
681,RC-2422 - Lamp Stand,Egyptian,,400 CE,Coptic/Byzantine,Bronze,Lamps,649.jpg
682,RC-2423 - Lamp with Cross,Egyptian,,200 - 400 CE,Coptic/Byzantine,Terracotta,Lamps,223.jpg
683,RC-2424 - Lamp with Cross,Egyptian,,200 - 400 CE,Coptic/Byzantine,Terracotta,Lamps,677.jpg
684,RC-2442 - Min Amulet,Egyptian,26TH,664 - 525 BCE,3rd Intermediate,Bronze,Amulets,71.jpg
685,RC-2453 - Mummy Cloth Fragment,Egyptian,,,,Linen,Funerary,201.jpg
686,RC-2456 - Child's Sandal/Right,Egyptian,18TH,1554 - 1320 BCE,New Kingdom,Papyrus,Toiletries,26.jpg
687,RC-2469 - Ishtar Fragment,Mesopotamian,,1000 BCE,,,Persian,824.jpg
688,RC-2505 - Ring Mold,Egyptian,18TH,1550 - 1293 BCE,New Kingdom,Terra Cotta,Tools,570.jpg
689,RC-2508 - Uatch Amulet,Egyptian,,,,Faience,Amulets,445.jpg
690,RC-2509 - Tyet Amulet,Egyptian,26TH ?,664 - 525 BCE ?,3rd Intermediate,Faience,Amulets,36.jpg
691,RC-2511 - Mummy Eye,Egyptian,,,,Glass,Funerary,178.jpg
692,RC-2512 - Shirt,Egyptian,,,,Linen,Textiles,1026.jpg
693,RC-2560 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,207.jpg
694,RC-2561 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,870.jpg
695,RC-2562 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,240.jpg
696,RC-2563 - Shawabti/ Overseer,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,291.jpg
697,RC-2564 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,60.jpg
698,RC-2565 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,645.jpg
699,RC-2566 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,108.jpg
700,RC-2567 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,916.jpg
701,RC-2568 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,307.jpg
702,RC-2569 - Shawabti,Egyptian,,1070-656 BCE,3rd Intermediate,Faience,Ritual Objects,241.jpg
703,RC-2570 - Lion Padlock,Mesopotamian,,,,Bronze,Persian,871.jpg
704,RC-2572 - Pitcher,,,,,Glass,Vessels,257.jpg
705,RC-2574 - Husband and Wife,Egyptian,7 - 10TH,First Intermediate Period,1st Intermediate,Limestone,Epigraphy,473.jpg
706,RC-2643 - Marriage Contract,Egyptian,,300-400 CE,Coptic Byzantine,Papyrus,Epigraphy,1027.jpg
707,RC-2644 - Papyrus Fragment,Egyptian,,685-705 CE,Coptic/Byzantine,Papyrus,Epigraphy,100.jpg
708,RC-2647 - Paper Fragment,Egyptian,,642 CE - ?,Arab Conquest,Paper,Epigraphy,902.jpg
709,RC-2727 - Contract Tablet Fragment,Mesopotamian,,2350 BCE,Early Dynastic,Clay,Sumerian,15.jpg
710,RC-2731 - Contract Tablet Fragment,Mesopotamian,,2350 BCE,Early Dynastic,Clay,Sumerian,466.jpg
711,RC-2742 - Arrow Head,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Tools,884.jpg
712,RC-2743 - Arrow Head,Egyptian,18 - 20TH,1570 - 1070 BCE,New Kingdom,Bronze,Tools,609.jpg
713,RC-2755 - Faience Tiles,Egyptian,3RD,2663-2195 BCE,Old Kingdom,Faience,Architecture,923.jpg
714,RC-2756 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,482.jpg
715,RC-2757 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,878.jpg
716,RC-2758 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,407.jpg
717,RC-2759 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,716.jpg
718,RC-2760 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,778.jpg
719,RC-2761 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,701.jpg
720,RC-2762 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,124.jpg
721,RC-2763 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,358.jpg
722,RC-2764 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,136.jpg
723,RC-2765 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,566.jpg
724,RC-2766 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,338.jpg
725,RC-2767 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,892.jpg
726,RC-2768 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,313.jpg
727,RC-2769 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,413.jpg
728,RC-2770 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,350.jpg
729,RC-2771 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,203.jpg
730,RC-2772 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,419.jpg
731,RC-2773 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,914.jpg
732,RC-2774 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,389.jpg
733,RC-2775 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,648.jpg
734,RC-2776 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,163.jpg
735,RC-2777 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,924.jpg
736,RC-2778 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,51.jpg
737,RC-2779 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,403.jpg
738,RC-2780 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,190.jpg
739,RC-2781 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,840.jpg
740,RC-2782 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,506.jpg
741,RC-2783 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,171.jpg
742,RC-2784 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,463.jpg
743,RC-2785 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,180.jpg
744,RC-2786 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,791.jpg
745,RC-2787 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,115.jpg
746,RC-2788 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,621.jpg
747,RC-2789 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,13.jpg
748,RC-2790 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,461.jpg
749,RC-2791 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,99.jpg
750,RC-2792 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,410.jpg
751,RC-2793 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,802.jpg
752,RC-2794 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,377.jpg
753,RC-2795 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,650.jpg
754,RC-2796 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,571.jpg
755,RC-2797 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,218.jpg
756,RC-2798 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,769.jpg
757,RC-2799 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,447.jpg
758,RC-2800 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,381.jpg
759,RC-2801 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,495.jpg
760,RC-2802 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,169.jpg
761,RC-2803 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,552.jpg
762,RC-2804 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,860.jpg
763,RC-2805 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,262.jpg
764,RC-2806 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,732.jpg
765,RC-2807 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,63.jpg
766,RC-2808 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,298.jpg
767,RC-2809 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,557.jpg
768,RC-2810 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,671.jpg
769,RC-2811 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,44.jpg
770,RC-2812 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,689.jpg
771,RC-2813 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,316.jpg
772,RC-2814 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,217.jpg
773,RC-2815 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,332.jpg
774,RC-2816 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,167.jpg
775,RC-2817 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,62.jpg
776,RC-2818 - Tile,Egyptian,3RD,2620-2600 BCE,Old Kingdom,Faience,,453.jpg
777,RC-2819 - Tile,Egyptian,,,Old Kingdom,Faience,,360.jpg
778,RC-2822 - Meshet Coffin,Egyptian,11 - 12TH,2040 - 1782 BCE,Middle Kingdom,Wood,Funerary,530.jpg
779,RC-2861 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,7.jpg
780,RC-2862 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,137.jpg
781,RC-2863 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,610.jpg
782,RC-2864 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,328.jpg
783,RC-2928 - Bowl,Mesopotamian,,1000 BCE,,Clay,Persian,796.jpg
784,RC-2929 - Bowl,Mesopotamian,,1000 BCE,,Clay,Persian,629.jpg
785,RC-2930 - Bowl,Mesopotamian,,1000 BCE,,Clay,Persian,577.jpg
786,RC-2973 - Relief Fragment,Egyptian,5 - 6TH,2524-2250 BCE,Old Kingdom,Limestone,Epigraphy,391.jpg
787,RC-2990 - Offering Table,Egyptian,12TH DYNASTY,1994-1781 BCE,Middle Kingdom,Limestone,,324.jpg
788,RC-2991 - Cippus,Egyptian,,100 BCE-100 CE,Greco-Roman,Limestone,,553.jpg
789,RC-2992 - Cylinder,Egyptian,,1080-746 BCE,3rd Intermediate,Faience Egyptian Blue,,513.jpg
790,RC-2995 - Mummy Mask Fragment,Egyptian,,1550-1080 BCE,New Kingdom,Terracotta,,909.jpg
791,RC-1676 - Cat Mummy,Egyptian,21ST,1090 - 945 BCE,3rd Intermediate,Animal Remains,Funerary,928.jpg
792,RC-4864 - Pottery Fragment,Egyptian,,,,Clay,Vessels,259.jpg
793,RC-4865 - Pottery Fragment,Egyptian,,,,Clay,Vessels,523.jpg
794,RC-4866 - Pottery Fragment,Egyptian,,,,Clay,Vessels,749.jpg
795,RC-4867 - Pottery Fragment,Egyptian,,,,Clay,Vessels,737.jpg
796,RC-2214 - Boat Model,Egyptian,12TH,1991-1784 BCE,Middle Kingdom,Cedar Wood,Funerary,10.jpg
797,RC-1718 - Corn Mummy,Egyptian,27-30TH,1549-1069 BCE,Late Period,Wood,Funerary,449.jpg
