,objectDate,locus,city,objectName,subregion,period,Path,title,dynasty,reign,classification,medium,region
0,664-30 B.C.,unknown,unknown,"Bastet, standing, aegis, basket",unknown,Late Period -Ptolemaic Period,329767.json,Bastet holding aegis and basket,Dynasty 26 or later,unknown,unknown,Cupreous metal,unknown
1,ca. 1850-1650 B.C.,unknown,unknown,Upper half of a woman from a pair or group statue,unknown,Late Middle Kingdom,329768.json,Upper half of a woman from a pair or group statue,Late Dynasty 12-13,unknown,unknown,Granite,unknown
2,ca. 664-525 B.C.,unknown,unknown,Head from a figure of Osiris,unknown,Late Period,329769.json,Head from a figure of Osiris,Dynasty 26,unknown,unknown,Graywacke,unknown
3,664-30 B.C.,unknown,unknown,"figure, Osiris",unknown,Late Period-Ptolemaic Period,329771.json,Figure of Osiris,unknown,unknown,unknown,Cupreous metal,unknown
4,ca. 1850-1650 B.C.,unknown,unknown,Head and chest of a shabti figure,unknown,Middle Kingdom,329774.json,Head and chest of a shabti figure,late Dynasty 12 to Dynasty 13,unknown,unknown,Steatite or serpentinite,unknown
5,ca. 1479-1352 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329782.json,Upper Part of a Jar in the Shape of a Womanâ€™s Head,Dynasty 18,reign of Thutmose III - Amenhotep III,unknown,"Pottery, paint",unknown
6,ca. 1850-1650 B.C.,unknown,unknown,Upper half of a woman from a pair or group statue,unknown,Late Middle Kingdom,329783.json,Upper half of a woman from a pair or group statue,Late Dynasty 12-13,unknown,unknown,Steatite or serpentinite,unknown
7,ca. 1550-664 B.C.,unknown,unknown,unknown,unknown,New Kingdom-Third Intermediate Period,329785.json,Two-Sided Plaque with Gazelles,unknown,unknown,unknown,Faience,unknown
8,ca. 1625-1500 B.C.,unknown,unknown,unknown,unknown,Second Intermediate Period-early Dynasty 18,329789.json,Head of a Man with a Round Wig,unknown,unknown,unknown,"Limestone, paint",unknown
9,ca. 980-930 B.C.,unknown,unknown,Shabti of Shedsuhori,unknown,Third Intermediate Period,329790.json,Shabti of Shedsuhori,Dynasty 21,pontificate of Painedjem II or Psusennes III,unknown,Faience,unknown
10,ca. 1200-1194 B.C.,unknown,unknown,"scarab, hieroglyphs, cartouche, Seti II",unknown,New Kingdom,329792.json,Scarab of Seti II,Dynasty 19,reign of Seti II,unknown,Faience,unknown
11,ca. 1295-1070 B.C.,unknown,unknown,"plaque, uraei, beetle, winged falcon-headed sun god",unknown,New Kingdom,329793.json,Plaque with winged Re-Harakhty,Dynasty 19-20,unknown,unknown,Glazed steatite,unknown
12,ca. 332-30 B.C.,unknown,unknown,"Amulet of Isis nursing Horus, figure",unknown,Ptolemaic Period,329796.json,Figure of Isis nursing Horus,unknown,unknown,unknown,Faience,unknown
13,ca. 1450-1400 B.C.,unknown,unknown,Head of a Shabti,unknown,New Kingdom,329799.json,"Head with tripartite wig, probably from a shabti",mid-Dynasty 18,unknown,unknown,Steatite or serpentinite,unknown
14,ca. 1650-1550 BC,unknown,unknown,Head of a Male Figure,unknown,Second Intermediate Period,329803.json,Head of a Male Figure,unknown,unknown,unknown,"Limestone, paint",unknown
15,ca. 730-332 B.C.,unknown,unknown,Ptah figure,unknown,Late Period,329805.json,Ptah Figure,unknown,unknown,unknown,Faience,unknown
16,ca. 664-332 B.C.,unknown,unknown,Partial Shu Amulet,unknown,Late Period,329806.json,Partial Shu Amulet,unknown,unknown,unknown,Faience,unknown
17,4th to 3rd Century B.C.,unknown,unknown,Upper part of a figure depicting Isis nursing Horus,unknown,Early Ptolemaic Period,329807.json,Upper part of a figure of Isis nursing Horus,unknown,unknown,unknown,Faience,unknown
18,4th to 3rd Century B.C.,unknown,unknown,Upper part of a figure depicting Isis nursing Horus,unknown,Early Ptolemaic Period,329809.json,Upper part of a figure of Isis nursing Horus,unknown,unknown,unknown,Faience,unknown
19,ca. 664-30 B.C.,unknown,unknown,"Head from an amulet of Harpokrates, child god",unknown,Late Period -Ptolemaic Period,329810.json,"Head from a figure of a child god, perhaps Harpokrates",unknown,unknown,unknown,Faience,unknown
20,ca. 1550 B.C.-1070 B.C.,unknown,unknown,unknown,unknown,New Kingdom or later,329812.json,Head of a Statuette of Ptah,unknown,unknown,unknown,Faience,unknown
21,ca. 1980-1550 B.C.,unknown,unknown,unknown,unknown,Middle Kingdom-Second Intermediate Period,329818.json,Cosmetic Vessel,Dynasty 12-Dynasty 17,unknown,unknown,Anhydrite,unknown
22,ca. 1980-1550 B.C.,unknown,unknown,unknown,unknown,Middle Kingdom-Second Intermediate Period,329819.json,Cosmetic Vessel,Dynasty 12-Dynasty 17,unknown,unknown,Anhydrite,unknown
23,1086-30 B.C.,unknown,unknown,Harpokrates Amulet,unknown,Third Intermediate Period-Ptolemaic Period,329820.json,Harpokrates Amulet,unknown,unknown,unknown,Faience,unknown
24,ca. 1550-664 B.C.,unknown,unknown,unknown,unknown,New Kingdom-Third Intermediate Period,329821.json,Fragmentary Head of an Oryx,unknown,unknown,unknown,Faience,unknown
25,ca. 1550-1295 B.C.,unknown,unknown,Bowl with fish and lotuses,unknown,New Kingdom,329823.json,Bowl with fish and lotuses,Dynasty 18,unknown,unknown,Faience,unknown
26,ca. 1550-1070 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329847.json,Hand of a Seated Deity,unknown,unknown,unknown,Granite,unknown
27,ca. 30 B.C.-A.D. 364,unknown,unknown,unknown,unknown,Roman Period,329850.json,Two-Handled Amphora,unknown,unknown,unknown,Faience,unknown
28,ca. 1070-664 B.C.,unknown,unknown,Lion-headed goddess suckling the king,unknown,Third Intermediate Period,329853.json,Lion-headed goddess suckling the king,unknown,unknown,unknown,Faience,unknown
29,664 B.C.-30 B.C,unknown,unknown,unknown,unknown,Late Period-Ptolemaic Period,329855.json,Profile Face Inlay,unknown,unknown,unknown,Faience,unknown
30,ca. 1153-712 B.C.,unknown,unknown,"Bead, cartouche, royal",unknown,New Kingdom-Third Intermediate Period,329856.json,Bead with Royal Name,unknown,unknown,unknown,Faience,unknown
31,ca. 1295-1186B.C.,unknown,unknown,Shabti of Nebneheh,unknown,New Kingdom,329859.json,Shabti of Nebneheh,likely Dynasty 19,unknown,unknown,Faience,unknown
32,3rd century B.C.,unknown,unknown,"relief, plaque, sculptor's model, donation, royal, head",unknown,Ptolemaic Period,329860.json,Relief plaque depicting a royal figure,unknown,unknown,unknown,Limestone,unknown
33,ca. 400-200 B.C.,unknown,unknown,"relief, plaque, sculptor's model, donation, royal, head, queen, goddess",unknown,Late Period-Ptolemaic Period,329861.json,Relief Plaque with head of a goddess or a queen,unknown,unknown,unknown,Limestone,unknown
34,ca. 570-526 B.C.,unknown,unknown,"Shabti  of the Overseer of the Fleet, Hekaemsaf",unknown,Late Period,329862.json,Shabti of the Overseer of the Fleet Hekaemsaf,Dynasty 26,reign of Amasis,unknown,Faience,unknown
35,ca. 1550-1479 B.C.,unknown,unknown,"head, queen, vulture headdress",unknown,New Kingdom,329864.json,Head of a Queen Wearing a Vulture Headdress,Early Dynasty 18,unknown,unknown,"Limestone,  paint",unknown
36,ca. 747-664 B.C.,unknown,unknown,unknown,unknown,Third Intermediate Period,329866.json,Head of a Kushite King,Dynasty 25,unknown,unknown,Egyptian blue,unknown
37,ca. 945-700 B.C.,unknown,unknown,"Upper part of Isis, from a figure of the goddess nursing Horus",unknown,Third Intermediate Period,329869.json,"Upper part of Isis, from a figure of the goddess nursing Horus",Dynasty 22-23,unknown,unknown,Egyptian blue,unknown
38,ca. 945-700 B.C.,unknown,unknown,Head of Amun with inlaid eyes,unknown,Third Intermediate Period,329871.json,Head of Amun with inlaid eyes,Dynasty 22-23,unknown,unknown,Egyptian blue,unknown
39,ca. 6th-4th century B.C.,unknown,unknown,unknown,unknown,Late Period,329872.json,Head of a King Wearing the Nemes,unknown,unknown,unknown,Limestone,unknown
40,ca. 332-30 B.C.,unknown,unknown,Head of a King with a Nemes Headdress,unknown,Ptolemaic Period,329874.json,Head of a King with a Nemes Headdress,unknown,unknown,unknown,Limestone,unknown
41,ca. 550-30 B.C.,unknown,unknown,Head of a goddess,unknown,Late Period-Ptolemaic Period,329875.json,Head of a goddess,unknown,unknown,unknown,Glazed stone,unknown
42,ca. 1295-1070 B.C.,unknown,unknown,"female, woman, pair statue, Hathor, Re-Horakhty, wab-priest",unknown,Late New Kingdom,329876.json,Upper Part of a of  Woman from a Pair Statue,Dynasty 19-20,unknown,unknown,White limestone with traces of black paint,unknown
43,ca. 1070-664 B.C.,unknown,unknown,Pataikos Amulet,unknown,Third Intermediate Period,329877.json,Pataikos Amulet,unknown,unknown,unknown,Faience,unknown
44,ca. 2465-2323 B.C.,unknown,unknown,"Male Head, Probably from a Serving Statue",unknown,Old Kingdom,329878.json,"Male Head, Probably from a Serving Statue",Dynasty 5,unknown,unknown,Limestone,unknown
45,ca. 664-332 B.C.,unknown,unknown,Hathor emblem from a sistrum,unknown,Late Period,329881.json,Hathor emblem from a sistrum,unknown,unknown,unknown,Faience,unknown
46,ca. 664-30 B.C.,unknown,unknown,Part of a sistrum,unknown,Late Period-Ptolemaic Period,329882.json,Part of a sistrum,unknown,unknown,unknown,Faience,unknown
47,ca. 1850-1650 B.C.,near entrance of tomb,unknown,Statuette of Reniseneb,"Asasif, Birabi",Late Middle Kingdom,329884.json,Statuette of Reniseneb,Late Dynasty 12-13,unknown,unknown,"Wood, paint","Upper Egypt, Thebes"
48,ca. 1200-700 B.C.,unknown,unknown,unknown,unknown,Late New Kingdom-early Third Intermediate Period,329885.json,Pectoral Fragment,Dynasty 19-22,unknown,unknown,Faience,unknown
49,ca. 400-30 B.C.,unknown,unknown,"relief, plaque, sculptor's model, donation, birds",unknown,Late Period-Ptolemaic Period,329886.json,Relief plaque with birds on both sides,unknown,unknown,unknown,Limestone,unknown
50,ca. 1800-1650 B.C.,unknown,unknown,Head from the figure of an official,unknown,Middle Kingdom,329887.json,Head from the figure of an official,Dynasty 13,unknown,unknown,Fine-grained greenish-grey stone,unknown
51,ca. 1978-1940 BC,unknown,unknown,Figure of a Striding Man in a Long Kilt,unknown,Middle Kingdom,329889.json,Figure of a Striding Man with a Long Kilt,Dynasty 12,probably reign of Senwosret III,unknown,Wood,unknown
52,ca. 2030-1917 BC,unknown,unknown,"Left Side of a Statuette, Probably a Nude Male",unknown,Middle Kingdom,329890.json,"Left Side of a Statuette, Probably a Nude Male",Dynasty 11-early 12,unknown,unknown,"Wood, paint",unknown
53,ca. 1850-1650 B.C.,unknown,unknown,Head and Upper Torso of a Seated Official,unknown,Middle Kingdom,329891.json,Head and Upper Torso of a Seated Official,late Dynasty 12-Dynasty 13,unknown,unknown,Steatite or serpentinite,unknown
54,ca. 1550-1295 B.C.,unknown,unknown,Segmented ball,unknown,New Kingdom,329893.json,Segmented ball,Dynasty 18,unknown,unknown,Faience,unknown
55,ca. 1295-1186 B.C.,unknown,unknown,Shabti of Sherinefer,unknown,New Kingdom,329894.json,Shabti of Sherinefer,Dynasty 19,unknown,unknown,Steatite or serpentinite,unknown
56,ca. 4th century B.C. or later,unknown,unknown,"bronze, non-royal, private, flutist",unknown,Late Period-Ptolemaic Period,329895.json,Statuette of a flutist,unknown,unknown,unknown,Copper alloy,unknown
57,ca. 332-30 B.C.,unknown,unknown,unknown,unknown,Ptolemaic Period,329899.json,Macrophallic Figurine,unknown,unknown,unknown,Faience,unknown
58,ca. 1300-1250 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329902.json,Unknown Woman from a Pair Statue,late Dynasty 18-early Dynasty 19,unknown,unknown,"Limestone, paint",unknown
59,ca. 760-664 B.C.,unknown,unknown,unknown,unknown,Third Intermediate Period,329904.json,Statue of the Royal Treasurer Taruru,Dynasty 25,unknown,unknown,Quartzite,unknown
60,ca. 1390-1352 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329906.json,Head of Amenhotep III Wearing the White Crown,Dynasty 18,reign of Amenhotep III,unknown,Granite,unknown
61,ca. 664-30 B.C.,unknown,unknown,"baboon, squatting, shebet, basket",unknown,Late Period-Ptolemaic Period,329908.json,"Figure of baboon on a basket and with a pillar, the shebet offering",unknown,unknown,unknown,Faience,unknown
62,ca. 1650-1550 BC,unknown,unknown,Figure of a Striding Man,unknown,Second Intermediate Period,329911.json,Figure of a Striding Man,unknown,unknown,unknown,Serpentinite,unknown
63,ca. 664-30 B.C.,unknown,unknown,Isis nursing Horus,unknown,Late Period-Ptolemaic Period,329912.json,Isis nursing Horus,unknown,unknown,unknown,Faience,unknown
64,ca. 1479-1352 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329913.json,Upper Part of a Jar in the Shape of a Female Musician,Dynasty 18,reign of Thutmose III-Amenhotep III,unknown,"Pottery, paint",unknown
65,ca. 1800-1650 B.C.,unknown,unknown,Upper Part of a Seated Figure in a Long Kilt,unknown,Middle Kingdom,329915.json,Upper Part of a Seated Figure in a Long Kilt,Dynasty 13,unknown,unknown,Serpentinite,unknown
66,ca. 664-200 B.C.,unknown,unknown,"priest, jar, kneeling, Pediuser",unknown,Late Period-Ptolemaic Period,329918.json,"Pediusir kneeling, holding a jar",unknown,unknown,unknown,Copper alloy,unknown
67,ca. 664-200 B.C.,unknown,unknown,"priest, jar, libation",unknown,Late Period-Ptolemaic Period,329919.json,"Kneeling Priest, Pouring Libation",unknown,unknown,unknown,Copper alloy,unknown
68,ca. 1550-1070 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329920.json,Fragmentary Head of a Man,unknown,unknown,unknown,"Limestone, paint",unknown
69,ca. 595-570 B.C.,unknown,unknown,Head of a Man,unknown,Late Period,329926.json,Head of a Man,Dynasty 26,reign of Psamtik II-Apries,unknown,Basalt or metagraywacke,unknown
70,ca. 400-30 B.C.,unknown,unknown,Forepart of a reclining lion,unknown,Late Period-Ptolemaic Period,329927.json,Forepart of a reclining lion,unknown,unknown,unknown,Limestone,unknown
71,ca. 664-30 B.C.,unknown,unknown,Upper Part of the Figure of a Seated Cat,unknown,Late Period  - Ptolemaic Period,329928.json,Upper Part of the Figure of a Seated Cat,unknown,unknown,unknown,Cupreous metal,unknown
72,ca. 570-526 B.C.,unknown,unknown,"Shabti  of the Overseer of the Fleet, Hekaemsaf",unknown,Late Period,329930.json,Shabti of the Overseer of the Fleet Hekaemsaf,Dynasty 26,reign of Amasis,unknown,Faience,unknown
73,664-30 B.C.,unknown,unknown,"Figure of an Apis Bull, sacred",unknown,Late Period -Ptolemaic Period,329931.json,Figure of a Sacred  Bull,unknown,unknown,unknown,Cupreous metal,unknown
74,ca. 1802-1650 BC,unknown,unknown,Head of a Man with a Shaved Head,unknown,Middle Kingdom,329932.json,Head of a Man with a Shaved Head,Dynasty 13,unknown,unknown,Metagraywacke,unknown
75,ca. 664-525 B.C. or later,unknown,unknown,Head of a figure of Amun-Min,unknown,Late Period  or later,329934.json,Head possibly from a figure of Amun-Min,Dynasty 26 or later,unknown,unknown,Steatite,unknown
76,4th century B.C. or later,unknown,unknown,Man with a Shaved Head,unknown,Late Period or Ptolemaic Period,329935.json,Man with a Shaved Head,unknown,unknown,unknown,Possibly red quartzite or basalt,unknown
77,664-30 B.C.,unknown,unknown,"Figure of an ibis wearing an atef crown, with a suspension loop, pendant",unknown,Late Period-Ptolemaic Period,329937.json,Pendant of an ibis wearing an atef crown,unknown,unknown,unknown,Cupreous metal,unknown
78,ca. 1850-1800 B.C.,unknown,unknown,Upper part of a figure of a seated official,unknown,Middle Kingdom,329938.json,Upper part of a figure of a seated official,late Dynasty 12,unknown,unknown,Steatite or serpentinite,unknown
79,ca. 1186-945 B.C.,unknown,unknown,"stamp seal, rosette, lion",unknown,Late New Kingdom-Early Third Intermediate Period,329941.json,Rosette Stamp Seal with Striding Lion,Dynasty 20-21,unknown,unknown,Glazed steatite,unknown
80,ca. 1186-945 B.C.,unknown,unknown,"scarab, hieroglyphs, menkheperre, winged sun disk ostrich feathers",unknown,Late New Kingdom-Early Third Intermediate Period,329942.json,Scarab inscribed with the name Menkheperre,Dynasty 20-21,unknown,unknown,"Steatite, traces of green glaze",unknown
81,ca. 1550-1070 B.C.,unknown,unknown,unknown,unknown,New Kingdom or later,329943.json,Head of Ptah,unknown,unknown,unknown,"Egyptian blue, gold leaf",unknown
82,ca. 700-300 B.C.,unknown,unknown,unknown,unknown,Third Intermediate Period-Late Period,329944.json,Head of a Woman,unknown,unknown,unknown,Faience,unknown
83,ca. 1550-1000 B.C.,unknown,unknown,unknown,unknown,New Kingdom or later,329945.json,Head of Ptah,unknown,unknown,unknown,Faience,unknown
84,ca. 1800-1650 B.C.,unknown,unknown,Upper part of a male seated figure,unknown,Middle Kingdom,329955.json,Upper part of a male seated figure,late Dynasty 12-Dynasty 13,unknown,unknown,Fine-grained grey stone,unknown
85,ca. 664-332 B.C.,unknown,unknown,"baboon, Iretherukhef, Hori, Sehrethenu",unknown,Late Period,329958.json,Baboon holding an inscribed stela dedicated to Iretherukhef,unknown,unknown,unknown,Copper alloy,unknown
86,ca. 1550-1070 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329959.json,Faience Ribbed Jar,unknown,unknown,unknown,Faience,unknown
87,First half of First Millennium B.C.,unknown,unknown,"Seated, Amun",unknown,Third Intermediate Period or Saite Period,329960.json,Seated figure of Amun,Dynasty 22-26,unknown,unknown,Limestone,unknown
88,664-30 B.C.,unknown,unknown,Figure of a seated cat,unknown,Late Period -Ptolemaic Period,329961.json,Figure of a Seated Cat,unknown,unknown,unknown,Cupreous alloy,unknown
89,ca. 400-30 B.C.,unknown,unknown,"relief, plaque, sculptor's model, donation, ram, bird",unknown,Late Period-Ptolemaic Period,329962.json,Relief plaque with ram's head,unknown,unknown,unknown,Limestone,unknown
90,ca. 1550-1070 B.C.,unknown,unknown,unknown,unknown,New Kingdom,329963.json,"Fragmentary Head of a Man, Belonging to a Block Statue",unknown,unknown,unknown,Granodiorite,unknown
91,ca. 1st-2nd century A.D,unknown,unknown,unknown,unknown,Roman Period,329966.json,Two-Handled Jar,unknown,unknown,unknown,Faience,unknown
92,ca. 664-525 B.C.,unknown,unknown,Upper Part of the Head of a Man,unknown,Saite Period,329969.json,Upper Part of the Head of a Man,mid-or late Dynasty 26,unknown,unknown,Basalt or graywacke,unknown
93,ca. 1295-1186 B.C.,unknown,unknown,unknown,unknown,New Kingdom,330125.json,Bald-headed Man Wearing Gold Collars,Dynasty 19,unknown,unknown,Steatite or schist,unknown
94,ca. 1802-1650 BC,unknown,unknown,Head of a Man of Nubian Descent,unknown,Middle Kingdom,330126.json,Head of a Man of Nubian Descent,Dynasty 13,unknown,unknown,Serpentinite,unknown
95,11th century,unknown,unknown,Coin weight,unknown,unknown,442875.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
96,11th century,unknown,unknown,Coin weight,unknown,unknown,442876.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
97,13th-16th century,unknown,unknown,Coin weight,unknown,unknown,442877.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
98,probably 13th-14th century,unknown,unknown,Coin weight,unknown,unknown,442878.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
99,11th century,unknown,unknown,Coin weight,unknown,unknown,442879.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
100,13th-16th century,unknown,unknown,Coin weight,unknown,unknown,442880.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
101,11th century,unknown,unknown,Coin weight,unknown,unknown,442881.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
102,11th century,unknown,unknown,Coin weight,unknown,unknown,442883.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
103,11th century,unknown,unknown,Coin weight,unknown,unknown,442884.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
104,11th century,unknown,unknown,Coin weight,unknown,unknown,442885.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
105,probably 12th-14th century,unknown,unknown,Coin weight,unknown,unknown,442886.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
106,11th-13th century,unknown,unknown,Coin weight,unknown,unknown,442887.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
107,7th-9th century,unknown,unknown,Coin weight,unknown,unknown,442888.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
108,11th century,unknown,unknown,Coin weight,unknown,unknown,442889.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
109,11th century,unknown,unknown,Coin weight,unknown,unknown,442890.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
110,11th century,unknown,unknown,Coin weight,unknown,unknown,442891.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
111,11th century,unknown,unknown,Coin weight,unknown,unknown,442892.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
112,11th century,unknown,unknown,Coin weight,unknown,unknown,442893.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
113,13th-16th century,unknown,unknown,Coin weight,unknown,unknown,442894.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
114,13th-16th century,unknown,unknown,Coin weight,unknown,unknown,442895.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
115,11th century,unknown,unknown,Coin weight,unknown,unknown,442896.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
116,11th century,unknown,unknown,Coin weight,unknown,unknown,442897.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
117,11th century,unknown,unknown,Coin weight,unknown,unknown,442898.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
118,10th-11th century,unknown,unknown,Coin weight,unknown,unknown,442899.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
119,4th-7th century,unknown,Abu Mena,Pilgrim flask,unknown,unknown,442902.json,Pilgrim Flask with Saint Menas,unknown,unknown,Ceramics,Earthenware,unknown
120,13th-14th century,unknown,unknown,Lamp fragment,unknown,unknown,442903.json,Fragment of a Lamp,unknown,unknown,Ceramics,Earthenware,unknown
121,3rd-12th century,unknown,unknown,Jar,unknown,unknown,442909.json,Jar,unknown,unknown,Ivories and Bone,Bone,unknown
122,13th-14th century,unknown,unknown,Lamp,unknown,unknown,442910.json,Lamp,unknown,unknown,Ceramics,Earthenware,unknown
123,11th century,unknown,unknown,Seal,unknown,unknown,442912.json,Seal,unknown,unknown,Seals,Possibly ivory,unknown
124,9th-10th century,unknown,unknown,Bottle,unknown,unknown,442916.json,Bottle,unknown,unknown,Glass,Glass,unknown
125,probably 12th-15th century,unknown,unknown,Panel,unknown,unknown,442920.json,Panel,unknown,unknown,Wood,"Wood, gesso, pigment",unknown
126,6th century,unknown,unknown,Fragment,unknown,unknown,442926.json,Fragment,unknown,unknown,Ceramics,Earthenware,unknown
127,14th-15th century,unknown,unknown,Tile,unknown,unknown,442928.json,Tile,unknown,unknown,Ceramics-Tiles,Earthenware,unknown
128,8th-9th century,unknown,unknown,Fragment of a non-illustrated single work,unknown,unknown,442931.json,Papyrus Fragment,unknown,unknown,Codices,Ink on papyrus,unknown
129,11th-12th century,unknown,unknown,Fragment of a non-illustrated single work,unknown,unknown,442932.json,Papyrus Fragment,unknown,unknown,Codices,Ink on papyrus,unknown
130,8th-10th century,unknown,unknown,Fragment of a non-illustrated single work,unknown,unknown,442933.json,Papyrus Fragment,unknown,unknown,Codices,Ink on papyrus,unknown
131,8th-10th century,unknown,unknown,Fragment of a non-illustrated single work,unknown,unknown,442934.json,Papyrus Fragment,unknown,unknown,Codices,Ink on papyrus,unknown
132,8th-10th century,unknown,unknown,Fragment of a non-illustrated single work,unknown,unknown,442935.json,Papyrus Fragment,unknown,unknown,Codices,Ink on papyrus,unknown
133,8th-10th century,unknown,unknown,Fragment of a non-illustrated single work,unknown,unknown,442936.json,Papyrus Fragment,unknown,unknown,Codices,Ink on papyrus,unknown
134,8th-10th century,unknown,unknown,Fragment of a non-illustrated single work,unknown,unknown,442937.json,Papyrus Fragment,unknown,unknown,Codices,Ink on papyrus,unknown
135,9th-10th century,unknown,unknown,Textile fragment,unknown,unknown,442940.json,Textile Fragment,unknown,unknown,Textiles-Rugs,Wool,unknown
136,4th-5th century,unknown,unknown,Ewer,unknown,unknown,443168.json,Ewer,unknown,unknown,Metal,Bronze,unknown
137,13th-14th century,unknown,unknown,Coin weight,unknown,unknown,443177.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
138,10th-14th century,unknown,unknown,Coin weight,unknown,unknown,443178.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
139,11th century,unknown,unknown,Coin weight,unknown,unknown,443179.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
140,13th-14th century,unknown,unknown,Coin weight,unknown,unknown,443180.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
141,13th-14th century,unknown,unknown,Coin weight,unknown,unknown,443181.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
142,11th century,unknown,unknown,Coin weight,unknown,unknown,443182.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
143,10th-12th century,unknown,unknown,Coin weight,unknown,unknown,443183.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
144,10th-12th century,unknown,unknown,Coin weight,unknown,unknown,443184.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
145,probably 13th-14th century,unknown,unknown,Coin weight,unknown,unknown,443185.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
146,second half 13th-14th century,unknown,unknown,Coin weight,unknown,unknown,443186.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
147,probably 11th-12th century,unknown,unknown,Coin weight,unknown,unknown,443187.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
148,second half 13th-14th century,unknown,unknown,Coin weight,unknown,unknown,443188.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
149,dated 401 AH,unknown,unknown,Coin weight,unknown,unknown,443189.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
150,8th century,unknown,unknown,Coin weight,unknown,unknown,443191.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
151,778 CE,unknown,unknown,Coin weight,unknown,unknown,443192.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
152,12th century,unknown,unknown,Coin weight,unknown,unknown,443193.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
153,11th century,unknown,unknown,Coin weight,unknown,unknown,443194.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
154,12th-14th century,unknown,unknown,Coin weight,unknown,unknown,443195.json,Coin Weight,unknown,unknown,Glass,Glass,unknown
155,7th century,unknown,unknown,Lid,unknown,unknown,443196.json,Lid of a Censer,unknown,unknown,Metal,Bronze,unknown
156,3rd-4th century,unknown,unknown,Textile fragment,unknown,unknown,443206.json,Textile Fragment,unknown,unknown,Textiles,"Wool, linen",unknown
157,3rd-4th century,unknown,Saqqara,Cap,unknown,unknown,443207.json,Cap,unknown,unknown,Textiles-Costumes,Wool,unknown
158,4th-5th century,unknown,unknown,Textile fragment,unknown,unknown,443208.json,Textile Fragment,unknown,unknown,Textiles,"Wool, linen",unknown
159,4th-5th century,unknown,unknown,Textile fragment,unknown,unknown,443209.json,Textile Fragment,unknown,unknown,Textiles,"Wool, linen",unknown
160,3rd-4th century,unknown,unknown,Textile fragment,unknown,unknown,443210.json,Textile Fragment,unknown,unknown,Textiles,"Wool, linen",unknown
161,3rd-4th century,unknown,unknown,Textile fragment,unknown,unknown,443211.json,Textile Fragment,unknown,unknown,Textiles,"Wool, linen",unknown
162,3rd-4th century,unknown,unknown,Textile fragment,unknown,unknown,443212.json,Textile Fragment,unknown,unknown,Textiles,"Wool, linen",unknown
163,3rd-4th century,unknown,unknown,Textile fragment,unknown,unknown,443213.json,Textile Fragment,unknown,unknown,Textiles,"Wool, linen",unknown
164,3rd-4th century,unknown,unknown,Textile fragment,unknown,unknown,443214.json,Textile Fragment,unknown,unknown,Textiles,"Wool, linen",unknown
