,Unique Values,Count
14,NECKLACE,268
266,NECKLACE TERMINAL,3
135,NEEDLE,12
389,NICHE,1
180,OAR,7
100,OFFERING BASIN,20
261,OFFERING BEARER,3
192,OFFERING STAND,7
44,OFFERING TABLE,66
201,OINTMENT TABLET,6
337,OPENING OF THE MOUTH INSTRUMENT,2
416,OPENWORK,1
288,ORGANIC REMAINS,3
409,OSIRIS BED,1
35,OSTRACON,104
361,OSTRICH EGG,1
369,OSTRICH EGG-SHELL,1
184,OUTER BANDS,7
19,PALETTE,137
127,PANEL,13
16,PAPYRUS,168
265,PAPYRUS BOAT,3
291,PARCHMENT,3
149,PART OF LAMP,10
65,PECTORAL,37
163,PEDESTAL,8
113,PEN,16
324,PESESHKAF,2
168,PESTLE,8
214,PICK,5
263,PILASTER,3
25,PITCHER,124
49,PLATE,52
408,PLOUGH,1
326,PLOUGHING,2
378,PLUG,1
358,PLUMB-LINE WITH SUPPORT,1
376,PLUMMET,1
92,PORTRAIT,24
173,PYRAMIDE,8
366,RAM MUMMY,1
379,RATTLE,1
159,RAZOR,9
23,RECEPTACLE,125
59,"RECEPTACLE, STAND FOR",41
9,RELIEF,354
109,RELIGIOUS OR CULT OBJECT,17
235,RESERVE HEAD,4
105,RING,18
210,RING SEAL,5
421,ROPE,1
332,ROWING BOAT,2
181,SAILING BOAT,7
63,SANDAL,38
8,SCARAB,366
27,SCARAB SEAL,113
94,"SCARAB, SEAL, SCARABOID, INTAGLIO AND SIMILAR OBJECTS",23
54,SCARABOID,47
285,SCEPTRE,3
299,SCRAPER,2
31,SCULPTOR'S MODEL,109
30,SCULPTURE IN THE ROUND,110
55,SEAL,47
53,SEAL IMPRESSION,48
398,SEAT,1
331,SENET-GAME,2
302,SERPENT MUMMY,2
411,SEWING EQUIPMENT,1
2,SHABTI,1059
417,SHABTI BASKET,1
97,SHABTI BOX,22
383,SHABTI BOX PANEL,1
208,SHABTI COFFIN,5
273,SHABTI MOULD,3
243,SHIELD,4
211,SHOE,5
407,SHOVEL,1
216,SHRINE,5
403,SHUTTLE,1
223,SICKLE,5
242,SINKER OF NET,4
86,SISTRUM,26
85,SITULA,28
260,SOCKS,3
393,SOLAR BOAT,1
229,SOLES,4
381,SPATULA,1
175,SPEAR,8
